RNA	Complexity Score	Complexity Rank	Sign
"SCML1"	2.072797490423324e-223	20	-
"FOSL2"	1.931769650047548e-223	21	-
"ARID4A"	1.57151477709511e-223	22	-
"CYB5R4"	6.32107234674144e-224	23	-
"MGLL"	4.141140309284961e-224	24	-
"ZXDC"	3.226397427512094e-224	25	-
"SNCB"	3.215182619833992e-224	26	-
"EPHA3"	2.0757541251898244e-224	27	-
"C6"	1.0921273064723199e-224	28	-
"CLASP1"	9.888274527610865e-225	29	-
"DOCK3"	9.746670093208853e-225	30	-
"ST6GALNAC1"	8.680074827565894e-225	31	-
"VAMP3"	6.081872030617444e-225	32	-
"GYG2"	5.653735988032511e-225	33	-
"IP6K2"	4.061020175398371e-225	34	-
"CLDN18"	3.990717759881328e-225	35	-
"USP2"	2.6806771137331148e-225	36	-
"MAST4"	1.7217818963660688e-225	37	-
"SNX1"	1.622830822362591e-225	38	-
"COL17A1"	2.1873502209528006e-226	39	-
"MRTO4"	2.150419924374443e-226	40	-
"ACSM3"	9.134980440794307e-227	41	-
"HYAL2"	8.277958671342433e-227	42	-
"CLCN6"	4.1381380572045136e-227	43	-
"ME2"	3.313935092963645e-227	44	-
"PVR"	3.312172380743629e-227	45	-
"PPP1R15A"	2.569367112845028e-227	46	-
"PREP"	4.2085796604399536e-228	47	-
"HSD17B2"	1.190224645050763e-228	48	-
"FAT1"	4.4106167396602876e-229	49	-
"RARB"	4.402952272085389e-229	50	-
"CDC14A"	3.0297381621420505e-230	51	-
"AASS"	3.029572035356347e-230	52	-
"SLC6A15"	2.426872342454469e-230	53	-
"SLCO1A2"	9.32685760299346e-231	54	-
"BPIFB2"	1.0157355056259454e-258	55	-
"GPM6B"	7.331897456772048e-259	56	-
"NEBL"	3.849480304896729e-260	57	-
"UTP18"	3.4437356725543815e-260	58	-
"PLD1"	3.194043911509501e-260	59	-
"MPND"	1.1168679910164918e-260	60	-
"PNPLA6"	1.01283403230123e-260	61	-
"TMCC3"	8.256523497368336e-261	62	-
"CAD"	7.5023669898889755e-261	63	-
"MCAM"	5.825676504144143e-261	64	-
"BCL3"	3.5757218526538965e-261	65	-
"LAP3"	3.166646639380861e-261	66	-
"PHKA1"	3.0585741559196107e-261	67	-
"ARNTL2"	2.9081057918604627e-261	68	-
"CETP"	2.4844907610479205e-261	69	-
"DPEP1"	1.649114997147893e-261	70	-
