CG	n_tissue
cg09326409	42
cg08178991	1
cg09117448	1
cg00002597	51
cg19927508	6
cg02699540	1
cg10517474	2
cg19282742	1
cg22918432	1
cg03998066	1
cg02417684	1
cg02262187	1
cg27196129	1
cg06173810	1
cg00148355	1
cg12777862	1
cg16635314	1
cg10222027	7
cg00824381	10
cg09084370	1
cg08739841	1
cg04747728	1
cg04636672	33
cg02008169	2
cg08214455	6
cg05167429	1
cg09165554	16
cg01304080	4
cg14544620	1
cg08198040	5
cg16514113	1
cg26717157	2
cg08740240	2
cg05970777	1
cg01452125	2
cg03857640	3
cg04112058	9
cg06024852	1
cg20772904	1
cg01377916	1
cg06104511	1
cg08983279	8
cg03284853	1
cg00190596	1
cg04021430	1
cg02544453	1
cg07441122	1
cg02717630	2
cg00597366	1
cg06194026	1
cg27521684	1
cg05878098	3
cg26059897	1
cg01498134	1
cg04660816	1
cg04203758	1
cg03538733	1
cg06475764	1
cg18867659	1
cg05128386	40
cg04864062	1
cg09487575	93
cg05263113	10
cg03691822	3
cg03152880	2
cg05216542	3
cg08447910	5
cg04098547	1
cg07861968	1
cg02591442	2
cg12940073	2
cg08404739	17
cg03469910	2
cg20295000	1
cg26476173	6
cg05917480	5
cg08209473	1
cg03802297	2
cg01014262	2
cg04672837	3
cg26770907	1
cg04789818	1
cg08645400	1
cg05953100	1
cg08464190	1
cg07571509	1
cg09869647	2
cg01851782	1
cg06066587	2
ch.16.48036888F	1
cg03421236	1
cg01517680	6
cg05713954	1
cg16075504	1
cg00294267	1
cg03825158	2
cg10520780	1
cg03931660	1
cg05877397	1
cg01899542	1
cg16728225	1
cg07633317	4
cg08418279	1
ch.16.48423040F	2
cg08549806	2
cg26578156	10
cg07494500	4
cg00287636	1
cg02729344	1
cg16392195	7
cg14760951	2
cg08561442	2
cg26483229	6
cg03328215	1
cg03431137	3
cg07274820	2
cg26963397	2
cg06634750	1
cg08747717	10
cg09450713	1
cg07148304	1
cg16616386	2
cg06730718	4
cg19869415	8
cg08168585	2
cg26998850	1
cg06490627	7
cg03342530	1
cg04685962	1
cg03564338	14
cg04614386	1
cg01020263	1
cg02486161	104
cg12637205	1
cg05340489	1
cg02451467	5
cg07811262	2
cg08394412	1
cg02704790	2
cg16477611	5
cg01832935	1
cg07260541	1
cg05583608	1
cg08006625	1
cg26993798	1
cg04440885	3
cg01661130	1
cg08526074	1
cg08199953	4
cg06274671	1
cg01500945	1
cg00683332	1
cg02417084	10
cg06232807	1
cg01146232	3
cg00177451	3
cg00573835	1
cg07049465	5
cg04516203	3
cg01754423	1
cg27268835	8
cg05777602	7
cg07302051	2
cg04762034	1
cg02964087	2
cg09175221	2
cg09946349	1
cg00989002	4
cg05550276	1
cg26817217	1
cg09678615	1
cg06798008	11
cg11082282	2
cg06272230	1
cg05976516	20
cg00000029	1
cg02021817	1
cg03943270	1
cg00011284	1
cg02119764	1
cg07161888	1
cg06414161	1
cg24633242	1
cg01981760	1
cg06054593	1
cg06348615	1
cg00891125	2
cg05967340	1
cg06772063	1
cg01878940	11
cg07468327	2
cg00253658	1
cg05067427	1
cg08347500	1
cg06088745	2
cg08279075	2
cg26537209	3
cg04451839	1
cg22279504	1
cg24662961	1
cg17536114	1
cg09480047	1
cg00959883	1
cg09567173	1
cg08755703	30
cg09919735	1
cg01208855	5
cg16501625	5
cg03665818	224
cg07505018	1
cg07455757	1
cg08529345	1
cg08454455	1
cg16700620	1
cg09416543	2
cg05317090	20
cg10214640	1
cg02968537	1
cg01064265	1
cg07541744	7
cg06722193	1
cg01554410	5
cg01317772	2
cg07006398	1
cg27279620	3
cg07582157	8
cg03055942	1
cg09746736	1
cg02693870	2
cg04397593	4
cg07105499	6
cg09103960	2
cg05084391	1
cg19047292	1
cg07829842	2
cg00246932	3
cg02667667	11
cg13936125	2
cg09659734	1
cg27073113	77
cg08698835	2
cg26912314	2
cg07823688	2
cg09403559	1
cg16475558	29
cg05053220	1
cg11323230	2
cg02941219	1
cg03014785	2
cg03030345	2
cg03619472	1
ch.16.1235821R	1
cg11558102	1
cg00876127	2
cg08119275	2
cg05743734	1
cg05581701	1
cg09137696	1
cg09477740	1
cg00793056	1
cg02803037	1
cg03368362	1
cg27038002	1
cg26802333	1
ch.16.55305377R	1
cg16347359	1
cg08895936	36
cg19065650	2
cg27618145	1
cg09067465	1
cg01680667	1
cg03232842	2
cg06181531	2
cg06862692	2
cg00881185	1
cg08558449	2
cg03713346	1
cg03104758	10
cg00350441	1
cg08293777	1
cg27366891	1
cg00435408	1
cg10251936	3
cg00785106	2
cg01356867	35
cg04784263	1
cg04439516	1
cg06367311	5
cg26221971	1
cg05883489	1
cg02230383	1
cg04453552	2
cg13747967	1
cg26644853	1
cg20427865	2
cg01555705	1
cg06919205	1
cg00247269	1
cg09223516	3
cg27017172	1
cg01540102	1
cg03210589	3
cg20142224	1
cg05004142	1
cg09277532	10
cg05686118	1
cg09212468	1
cg04098028	1
cg16429725	4
cg03839322	17
cg06326971	1
cg08788681	1
cg26293512	1
cg00491255	5
cg05869503	2
cg04370442	5
cg16637941	1
cg07113322	1
cg07398350	1
cg27208052	1
cg08943809	1
cg00204645	1
cg20566643	2
cg16181803	1
cg16628556	1
cg00488734	1
cg03635578	2
cg02990302	1
cg06478814	1
cg00755753	1
cg06640533	1
cg24307225	1
cg15508020	5
cg03946012	2
cg09584188	18
cg02655227	2
cg11306587	6
cg13031432	3
cg00984694	14
cg00262031	2
cg08384171	1
cg10146880	2
cg01733271	1
cg00758881	2
cg01343363	17
cg08229468	53
cg04194840	4
cg26666090	1
cg09132913	1
cg05725686	9
cg01096617	3
cg05150224	44
cg12955069	2
cg08516450	1
cg05830473	1
cg13626907	3
cg04943065	1
cg04674428	2
cg03447361	5
cg10154971	1
cg06003388	5
cg00978051	1
cg13027458	1
cg02782052	1
cg10447095	5
cg04153563	28
cg00009553	4
cg03815683	4
cg07874983	7
cg09515947	2
cg04882273	8
cg04337176	2
cg04010817	50
ch.16.61129843R	4
cg02438026	2
cg00822007	55
cg27353640	40
cg01834225	2
cg07951949	5
cg00706191	16
cg01021552	4
cg01162378	20
cg06125461	2
cg10015051	4
cg02973961	2
cg06288788	1
cg09084496	34
cg09898059	1
cg10278552	7
cg01113412	18
cg01835326	23
cg27662750	5
cg02944238	1
cg03880673	2
cg01329445	5
cg05122803	4
cg01630588	1
cg03491821	1
cg05548402	8
cg06287303	1
cg04270013	1
cg10060191	1
cg05016066	1
cg16471830	1
cg22319147	1
cg26480675	1
cg04542433	1
cg00187129	2
cg06014631	1
cg01931893	2
cg12513308	1
cg08694199	1
cg00939649	1
cg09849405	1
cg16626067	1
cg09854734	1
cg05054953	1
cg09233013	1
cg07589273	5
cg10021295	1
cg11140307	1
cg18693704	2
cg07523565	1
cg07722333	20
cg04419012	1
cg07272566	139
cg07095264	2
cg06998210	3
cg00560547	4
cg06524479	1
cg01532206	2
cg10373196	1
cg05440435	1
cg27078786	1
cg01051701	1
cg08603911	3
cg07783684	1
cg08890824	2
cg00037186	1
cg07442105	1
cg03381216	1
cg01048244	2
cg03647619	6
cg09407859	3
cg08513626	2
cg16473610	2
cg05245319	5
cg07866476	2
cg02709840	1
cg09958559	1
cg06279276	5
cg26522057	1
cg06212637	1
cg05436064	2
cg07316263	1
cg09158826	1
cg07816687	2
cg01604539	2
cg03317463	1
cg11034861	1
cg26743555	1
cg23414876	1
cg26870771	1
cg04890459	2
cg09974990	1
cg00942293	1
cg03412237	1
cg26178184	6
cg08931102	1
cg00681513	1
cg07125771	1
cg09258878	1
cg02909711	1
cg03956914	17
cg09879805	2
cg02210621	8
cg04726373	19
cg09302448	1
cg01930719	3
cg01866162	4
cg01978105	5
cg00510320	4
cg02961798	4
cg01498655	1
cg07064331	1
cg15426734	1
cg01307442	1
cg03849279	1
cg25640176	1
cg09791459	2
cg08610383	1
cg04518928	1
cg22637872	1
cg04212884	1
cg05632351	1
cg16485385	1
cg01669540	1
cg06659310	1
cg00925722	1
cg08159743	1
cg21196187	1
cg04992326	1
cg06071083	1
cg08877617	1
cg03061352	1
cg19899008	1
cg10199168	2
cg10096215	1
cg06140118	1
cg01981596	1
cg09049717	1
cg10049070	14
cg01380533	2
cg10120555	13
cg00944421	1
cg01186217	1
cg09194755	8
cg06305340	4
cg00415057	5
cg10446007	1
cg10233539	1
cg07544189	11
cg03983715	2
cg01041405	6
cg05948940	5
cg08694014	1
cg05144928	11
cg15201635	1
cg19297232	3
cg05344692	2
cg05672554	1
cg10450421	1
cg03487276	11
cg02941431	1
cg09754882	3
cg02535421	1
cg03792540	6
cg02202600	1
cg10377726	1
cg01306747	1
cg06875305	5
cg06339752	1
cg04427990	4
cg00505936	3
cg01762827	1
cg12265604	1
cg03851155	1
cg12108730	1
cg16524960	1
cg15226501	1
cg08327038	1
cg06721231	1
cg02293732	7
cg02550308	2
cg03479942	8
cg10120807	1
cg06992390	1
cg09656027	1
cg04391736	1
cg27646699	1
cg07425824	1
cg16659480	1
cg05439318	1
cg22067472	1
cg04406620	3
cg01630883	3
cg11147886	5
cg06499262	1
cg10319857	1
cg09636661	15
cg05191006	1
cg13969273	1
cg07277869	1
cg05090972	1
cg08327378	2
cg16637690	2
cg00699693	1
cg08750807	1
ch.16.1565572R	1
cg07992340	5
cg03818826	2
cg05523882	2
cg08472247	2
cg09382693	5
cg08034613	1
cg01269537	1
cg04780159	1
cg02672936	3
cg09271671	1
cg12406941	1
cg10364459	1
cg15213605	1
cg10141839	4
cg01753198	5
cg01695579	3
cg04978426	20
cg00636508	1
cg08281777	1
cg02602352	1
cg10331424	1
cg07694319	1
cg27665181	1
cg16031065	2
cg09120395	6
cg09615821	1
cg07221103	1
cg09918510	1
cg02293437	3
cg26522244	2
cg06901060	1
cg02634272	1
cg12654412	1
cg00731458	1
cg27228433	1
cg27273602	2
cg07763516	1
cg08539889	2
cg03711682	2
cg04311557	1
cg07506795	4
cg05535113	3
cg16562730	3
cg00840403	1
cg02517497	1
cg01219130	2
cg03466007	69
cg05028274	1
cg06190759	4
cg02974259	2
