RNA	Complexity Score	Complexity Rank
TRBV29-1	4.1224505448018e-15	213
MAB21L1	4.118306902676962e-15	214
TRAV2	4.054770016941218e-15	215
SHC4	4.006545904033883e-15	216
FCRL1	3.998072162594093e-15	217
MAMDC2	3.987813895568299e-15	218
AF001548.3	3.960705918836176e-15	219
AC068057.1	3.960705918608903e-15	220
AC044810.2	3.960705918608903e-15	221
PNMA8C	3.960705918608903e-15	222
TNFRSF13B	3.9445753570856164e-15	223
CA6	3.929637225640487e-15	224
TBC1D27P	3.925150264781282e-15	225
IHO1	3.906783868740468e-15	226
SVEP1	3.906753628744185e-15	227
GRAP2	3.840387541972224e-15	228
EDN3	3.834447899618032e-15	229
SLC7A3	3.8344478995776614e-15	230
AL160412.1	3.8344478995776614e-15	231
C9orf116	3.828736658660026e-15	232
NIBAN3	3.797640652462334e-15	233
CMTM5	3.784465286864762e-15	234
ETV3L	3.784465286864762e-15	235
VPREB3	3.75743343911133e-15	236
AC015911.3	3.7484052204813935e-15	237
TRBV3-1	3.685149793917823e-15	238
DYNLRB2	3.685107049350251e-15	239
AC005077.4	3.685107049350251e-15	240
OVCH2	3.668702235747771e-15	241
TRAV4	3.646797700617517e-15	242
MS4A1	3.640441416045658e-15	243
LINC02273	3.6080649044228224e-15	244
TRAV13-1	3.590392971232814e-15	245
LINC02587	3.5431240471546153e-15	246
HSD17B13	3.541085850390789e-15	247
TRAV12-3	3.4826985792985124e-15	248
MRGPRF	3.479880204047091e-15	249
AP003071.4	3.479880204047091e-15	250
RGR	3.4692737443841803e-15	251
AC020907.1	3.4692737443841803e-15	252
AP001783.1	3.4692737443841803e-15	253
TRAV8-6	3.468027848817531e-15	254
TRAV26-1	3.4642683592123927e-15	255
AC087482.1	3.4512121959465462e-15	256
ADH1A	3.403174668187853e-15	257
TRAV9-2	3.3913446880524866e-15	258
GBP1P1	3.3452709316229297e-15	259
TOX	3.3322355677326295e-15	260
TRAV8-2	3.328220031331318e-15	261
STAC2	3.3213194442831043e-15	262
LINC01819	3.3213194442831043e-15	263
GZMK	3.2933152049090496e-15	264
MYOC	3.2864947629031937e-15	265
LINC02384	3.281880315407822e-15	266
MYOM1	3.2717654588324945e-15	267
ITIH5	3.2519643611904752e-15	268
IFNG	3.250924880363626e-15	269
LINC00402	3.1590026680283895e-15	270
LINC02084	3.0743179151692834e-15	271
NUGGC	3.050016746425018e-15	272
AC093300.1	3.043535427415584e-15	273
TRBV7-9	3.03869425587506e-15	274
CA4	3.0028260260780252e-15	275
TRAV8-3	2.9955069021970204e-15	276
TNFRSF13C	2.9732710636642878e-15	277
CD8A	2.9232308472510085e-15	278
OSR1	2.8853491343907178e-15	279
RYR3	2.8853491343907178e-15	280
LTB	2.8784850419291097e-15	281
WIF1	2.8255854644915553e-15	282
TREML2	2.81899115166631e-15	283
LYVE1	2.8029250542787765e-15	284
SCRG1	2.7981091907401604e-15	285
AL096816.1	2.795779184051097e-15	286
TRBV18	2.7261568098712148e-15	287
TMEM132C	2.701839324069446e-15	288
ABCA8	2.7009171798614857e-15	289
SAMD15	2.696533999312842e-15	290
ABCA9	2.6940224943595237e-15	291
LRRC3B	2.6893951878266783e-15	292
AL136366.1	2.674900473086847e-15	293
ITGB7	2.6573375294580533e-15	294
CLDN11	2.6438369007942068e-15	295
TCEAL5	2.6438170036122195e-15	296
SLAMF7	2.6222831370908402e-15	297
MYB	2.6149030769599918e-15	298
ABCF2P2	2.60010798036357e-15	299
AC023136.1	2.60010798036357e-15	300
AC233702.8	2.60010798036357e-15	301
CR1	2.5804164504102074e-15	302
CAVIN2	2.5794022965963555e-15	303
CEROX1	2.5764085983750403e-15	304
AC245884.9	2.5677714155528965e-15	305
SELL	2.5535876280740046e-15	306
TRBV19	2.541718233428602e-15	307
IL34	2.496833690883695e-15	308
VIM-AS1	2.4858292997316182e-15	309
CPA1	2.4690017428969593e-15	310
FERMT1	2.4651081455269945e-15	311
CD40LG	2.457900475652862e-15	312
CCR5	2.4496130609485538e-15	313
ARHGAP20	2.427139669528941e-15	314
KCNMB1	2.4267181434898994e-15	315
GAS1RR	2.4267181434898994e-15	316
SNORD114-20	2.420235076500598e-15	317
AC079598.4	2.420235076500598e-15	318
AC090386.2	2.420235076500598e-15	319
CHRDL1	2.4190384605547943e-15	320
FAM30A	2.401402749217752e-15	321
TRBV5-1	2.400485380662966e-15	322
C11orf21	2.3985499975234334e-15	323
GVINP1	2.3982879647010672e-15	324
SCML4	2.377369304714811e-15	325
IGF2BP2	2.3726505679207578e-15	326
LINC02872	2.3435222670058728e-15	327
DACH1	2.3251097081205015e-15	328
TRAT1	2.324259319946659e-15	329
EOMES	2.3057406875328747e-15	330
TCL1A	2.2440025460026147e-15	331
TNFRSF9	2.2427573142496622e-15	332
CD79A	2.236707601942526e-15	333
PPP2R2B	2.2309862370626522e-15	334
SOX8	2.2221818090541994e-15	335
AL590764.1	2.2221679760692165e-15	336
CRTAM	2.2109928562136194e-15	337
MIA-RAB4B	2.2023935551613394e-15	338
PLA2G2D	2.201378580025384e-15	339
ZBED2	2.1953939006753967e-15	340
GBP5	2.1917023664734076e-15	341
TBC1D10C	2.1883440396288433e-15	342
OR2S1P	2.167876851280321e-15	343
SHISA9	2.167060595466743e-15	344
U91319.1	2.167060595466743e-15	345
AC008805.1	2.167060595466743e-15	346
DDX43	2.167060595466743e-15	347
OOEP	2.167060595466743e-15	348
C10orf82	2.167060595466743e-15	349
AC016825.1	2.167060595466743e-15	350
TDRD12	2.167060595466743e-15	351
PAX8	2.167060595466743e-15	352
PAX8-AS1	2.167060595466743e-15	353
LMX1B	2.1670378421600213e-15	354
UBASH3A	2.1497346724128217e-15	355
GPR171	2.1495001580259985e-15	356
ZNF454	2.137316867748323e-15	357
LINC00528	2.128006271063286e-15	358
LINC01281	2.1050500051578583e-15	359
CASP4LP	2.0792636859206578e-15	360
PPP1R14C	2.0706652225688923e-15	361
GPR12	2.063068417841617e-15	362
CNR2	2.050520524018011e-15	363
MEI1	2.0464834579495314e-15	364
CCR7	2.039388208783878e-15	365
LRRC2	2.025808117633531e-15	366
DNAJC12	2.0214808992999882e-15	367
LINC02884	2.004107396126876e-15	368
CD3E	1.998299906045643e-15	369
GRIA4	1.9892161194716615e-15	370
CD5	1.9878580431531625e-15	371
TRBC2	1.9873104161484938e-15	372
AC004585.1	1.9872495069783793e-15	373
TRBV28	1.9817695036875646e-15	374
AC008514.1	1.969351730094398e-15	375
HSPB6	1.9686599731831038e-15	376
CD2	1.9622245703332682e-15	377
SLC22A3	1.961844002911519e-15	378
PARP15	1.9596953355705455e-15	379
C2orf88	1.926422356151724e-15	380
LINC02613	1.9060440167872056e-15	381
AFF3	1.9043334270221334e-15	382
AC092667.1	1.9043334270221334e-15	383
CLDN19	1.8995305534126093e-15	384
HOXA4	1.895071660762578e-15	385
LINC01537	1.890938774699002e-15	386
ITGA7	1.8889566448302482e-15	387
IDO1	1.885545088858392e-15	388
FCER2	1.880149167889821e-15	389
CFAP99	1.863074176975225e-15	390
IL21	1.8596998671664726e-15	391
GZMA	1.8587998481464993e-15	392
FUT7	1.8579210431804413e-15	393
CD52	1.8571235776821182e-15	394
STOX2	1.8569967577026037e-15	395
GABRP	1.8510899241697463e-15	396
CXCR5	1.8348355844976428e-15	397
MEF2C-AS1	1.8228099800966135e-15	398
AL161668.4	1.8098944640299144e-15	399
ITK	1.8081575518294227e-15	400
SAMD3	1.8058800219838638e-15	401
PLAC8	1.8038588635083807e-15	402
TIGIT	1.7805090740611727e-15	403
CD3G	1.779414326400205e-15	404
GFI1	1.77663556227791e-15	405
CD96	1.7698916342299084e-15	406
LINC00861	1.7682369635616161e-15	407
NCF1B	1.7643203701265733e-15	408
CD7	1.7584329079379546e-15	409
KCNH8	1.74854326167111e-15	410
CD79B	1.7475124233888199e-15	411
BLACAT1	1.7446677862200314e-15	412
VEGFD	1.738261687439186e-15	413
LRFN5	1.736440747380171e-15	414
AC103760.1	1.7277829907521472e-15	415
ZAP70	1.725089715413921e-15	416
TMEM71	1.6978716109793957e-15	417
TESPA1	1.686413390318898e-15	418
AC005682.1	1.6833428043530159e-15	419
FCRL3	1.6820556650456166e-15	420
LINC01781	1.6771794513614081e-15	421
NCF1C	1.674565015106882e-15	422
CCL5	1.6715703355496388e-15	423
LTA	1.6689300290842966e-15	424
AC015712.4	1.6639783709012118e-15	425
CXCR6	1.6483715215737691e-15	426
TCEAL7	1.6463723560753629e-15	427
TRBV20-1	1.6435196823293855e-15	428
IL2RA	1.6245237624111342e-15	429
MIR155HG	1.6138874808774196e-15	430
ADGRD2	1.6126637296540967e-15	431
MAP1LC3C	1.6103372003018053e-15	432
AC129908.1	1.6085685279440923e-15	433
TRG-AS1	1.606177681644093e-15	434
NCF1	1.6061352746596976e-15	435
TTC24	1.5969955771138e-15	436
UGT8	1.5893828185926931e-15	437
AC091043.1	1.58609611509173e-15	438
NDUFB4P11	1.585481339390068e-15	439
SCN4B	1.5825332326261638e-15	440
SCARA5	1.5803333385588298e-15	441
FCRL2	1.5789971037424827e-15	442
CD247	1.5694184823663287e-15	443
LRRC46	1.562416571920823e-15	444
CORO2B	1.5546622657048272e-15	445
CNKSR2	1.5510885962223484e-15	446
S1PR4	1.5502676881300958e-15	447
CHODL	1.5456508469173977e-15	448
CXCR3	1.5453449397378401e-15	449
HPSE2	1.5437962997614704e-15	450
VGLL1	1.5435697265496056e-15	451
SH2D2A	1.5424149974633774e-15	452
ECRG4	1.5422078958073923e-15	453
TFF3	1.5419340217696847e-15	454
THSD4	1.5400700331706211e-15	455
SYNM	1.51937256069287e-15	456
PDCD1	1.518408016051902e-15	457
CACNA2D2	1.5171791046859388e-15	458
OCA2	1.5153276018214845e-15	459
DRAIC	1.5032175424213504e-15	460
ZMYND10	1.4848834341034868e-15	461
LAMP3	1.4817877392588774e-15	462
PDCD1LG2	1.470743970067733e-15	463
TSHZ2	1.4657781106169846e-15	464
ATOH8	1.4611084362257493e-15	465
PDE9A	1.4553167554962731e-15	466
PTX3	1.4523727934687692e-15	467
SIRPG	1.4521829252220302e-15	468
LINC01198	1.449121200548109e-15	469
CD3D	1.4423886703696724e-15	470
LEMD1	1.4417219186245689e-15	471
ICOS	1.438295171058369e-15	472
PRSS21	1.4351807764834772e-15	473
MT1L	1.4351807764834772e-15	474
SDR42E1	1.4351807764834772e-15	475
ZNF662	1.4351807764834772e-15	476
NUDT16P1	1.4351807764834772e-15	477
SRARP	1.4351807764834772e-15	478
AC147651.1	1.4351807764834772e-15	479
GRIK3	1.4351807764834772e-15	480
OAZ1P1	1.4351807764834772e-15	481
PDZK1IP1	1.4351807764834772e-15	482
TTC22	1.4351807764834772e-15	483
GSTM2	1.4351807764834772e-15	484
CHI3L2	1.4351807764834772e-15	485
PDZK1	1.4351807764834772e-15	486
BNIPL	1.4351807764834772e-15	487
KLHDC9	1.4351807764834772e-15	488
KCNK1	1.4351807764834772e-15	489
TRMT9B	1.4351807764834772e-15	490
TSPYL5	1.4351807764834772e-15	491
ZNF572	1.4351807764834772e-15	492
SERPINA5	1.4351807764834772e-15	493
MKRN3	1.4351807764834772e-15	494
AC124248.1	1.4351807764834772e-15	495
AC006133.1	1.4351807764834772e-15	496
OLFM1	1.4351807764834772e-15	497
COX7A1	1.4351807764834772e-15	498
C19orf33	1.4351807764834772e-15	499
CYP2T1P	1.4351807764834772e-15	500
AC010643.1	1.4351807764834772e-15	501
TNNT1	1.4351807764834772e-15	502
ZNF391	1.4351807764834772e-15	503
PNLDC1	1.4351807764834772e-15	504
SCNN1A	1.4351807764834772e-15	505
C2orf74	1.4351807764834772e-15	506
DQX1	1.4351807764834772e-15	507
NT5DC4	1.4351807764834772e-15	508
OR4B1	1.4351807764834772e-15	509
FAM198B-AS1	1.4351807764834772e-15	510
RN7SL28P	1.4351807764834772e-15	511
KRTAP9-4	1.4351807764834772e-15	512
LDHC	1.4351807764834772e-15	513
CXorf66	1.4351807764834772e-15	514
GLB1L2	1.4351807764834772e-15	515
PLCB4	1.4351807764834772e-15	516
PARD6B	1.4351807764834772e-15	517
AKR1E2	1.4351807764834772e-15	518
CALML5	1.4351807764834772e-15	519
BX322639.1	1.4351807764834772e-15	520
LINC00857	1.4351807764834772e-15	521
JAKMIP3	1.4351807764834772e-15	522
ALDOC	1.4351807764834772e-15	523
HOXB2	1.4351807764834772e-15	524
TCAM1P	1.4351807764834772e-15	525
PRM1	1.4351807764834772e-15	526
CT83	1.4351807764834772e-15	527
PARP4P1	1.4351807764834772e-15	528
LINC00392	1.4351807764834772e-15	529
AC010451.3	1.4351807764834772e-15	530
SPESP1	1.4351807764834772e-15	531
AC025423.3	1.4351807764834772e-15	532
TNRC18P1	1.4351807764834772e-15	533
SRPX	1.4330382036483553e-15	534
FCRLA	1.4255674268129221e-15	535
ABCD2	1.4252936283120728e-15	536
LINC02258	1.423288788939058e-15	537
AC136621.1	1.4174757863806035e-15	538
PAMR1	1.4162091684846309e-15	539
LINC01215	1.4139531638244165e-15	540
RARRES1	1.4099840929352863e-15	541
AGR3	1.4094229724512316e-15	542
CNTNAP3	1.4090734260564258e-15	543
CTLA4	1.4076747476118123e-15	544
GPR55	1.3982730282525202e-15	545
TAF5LP1	1.3930660974285246e-15	546
NKX1-2	1.3910999562724503e-15	547
XPNPEP2	1.3875972110825582e-15	548
C5AR2	1.3806327696436956e-15	549
SLAMF1	1.3661939444579276e-15	550
TRBC1	1.3661161382257198e-15	551
FZD9	1.3621190200792248e-15	552
CD200R1	1.360992515211124e-15	553
ITM2A	1.3559012989428956e-15	554
CD300LG	1.3508265873437493e-15	555
PSAT1	1.3450723736623208e-15	556
KIRREL3-AS1	1.344997296448055e-15	557
CARMN	1.3429271047156108e-15	558
GALNT15	1.342672881363539e-15	559
BANK1	1.3378709459908393e-15	560
SLC17A7	1.3269528581415584e-15	561
FSIP1	1.3219436501215022e-15	562
AC243960.1	1.3151836940663558e-15	563
ZNF667-AS1	1.3150764926554678e-15	564
ZNF667	1.3150764926554678e-15	565
ACTA2-AS1	1.3141253194392295e-15	566
EPHB1	1.3134427330045268e-15	567
PRKCQ	1.313042356205848e-15	568
CD38	1.3009813463376488e-15	569
LINC02237	1.3006992722815582e-15	570
CASC8	1.2999558339639524e-15	571
B3GNT5	1.2988014013214154e-15	572
DNASE1L3	1.2976840619314233e-15	573
LRRN4CL	1.2895398045229337e-15	574
SLAMF8	1.2870187258411578e-15	575
TNFSF14	1.2861766456154968e-15	576
EPHB6	1.2822617051607777e-15	577
LINC00393	1.2767690718588511e-15	578
SAMD5	1.2740820739241016e-15	579
TSLP	1.2694059799158816e-15	580
ZNF831	1.2687538140753279e-15	581
BCL11A	1.2669382744335432e-15	582
RASGEF1C	1.2662660148360245e-15	583
NKG7	1.2660046937184434e-15	584
DNALI1	1.2652703043215383e-15	585
DMD	1.2587535732246109e-15	586
LINC00092	1.2568907139052017e-15	587
FP885919.1	1.2548634818366143e-15	588
LINC00996	1.2543104086405079e-15	589
SPIB	1.2420458900268874e-15	590
GIMAP5	1.2413894026702612e-15	591
LINC01945	1.23644736051168e-15	592
FHL1	1.232400910432676e-15	593
SIDT1	1.221099639525765e-15	594
ERBB4	1.2196711425119007e-15	595
ST8SIA1	1.2173132645937945e-15	596
PSTPIP1	1.2144803293576782e-15	597
IL18RAP	1.2120058279122399e-15	598
CT62	1.2068519197270781e-15	599
C16orf54	1.2035655288429937e-15	600
PNOC	1.2031886750931013e-15	601
DOK2	1.1962396563207809e-15	602
CD6	1.18798980594434e-15	603
ITPRIPL1	1.183342760578412e-15	604
AC097713.1	1.1814179034559118e-15	605
MIA	1.1783332370512533e-15	606
PRDM8	1.1757050654662016e-15	607
IL12RB2	1.1747283976320318e-15	608
PLA2G4A	1.1733831420929785e-15	609
CCDC170	1.1693661394888355e-15	610
TTC6	1.1602854829547172e-15	611
BTLA	1.1599144685797071e-15	612
ROPN1	1.1506209085334847e-15	613
PAK5	1.146388612224058e-15	614
NRG2	1.1463429789887216e-15	615
PRKCB	1.1461251358187911e-15	616
NCR3	1.1416936790091374e-15	617
PRSS33	1.1415726386704876e-15	618
KLRB1	1.1366437175072035e-15	619
SP140	1.1352878754816873e-15	620
ART3	1.1333694965827e-15	621
CD28	1.1320356291160888e-15	622
AGR2	1.1277490522569372e-15	623
ICAM3	1.126814159339582e-15	624
TIFAB	1.120388958683588e-15	625
SLA2	1.118548732084711e-15	626
CD244	1.1086625491582407e-15	627
SLC6A2	1.1080428334118408e-15	628
PTH1R	1.1073869236730912e-15	629
STAC	1.1055333664616469e-15	630
LINC01354	1.1024106382351089e-15	631
EMX2OS	1.101857506930629e-15	632
NKAPL	1.100211929556801e-15	633
FOXCUT	1.099951888295567e-15	634
POLR2F	1.091835264700696e-15	635
SH2D1A	1.0886281510423156e-15	636
SLAMF6	1.087675783347684e-15	637
TRPM6	1.0836008806738593e-15	638
DEGS2	1.0814781754346047e-15	639
IL2RG	1.0794083826316355e-15	640
KLHL29	1.0770696346866807e-15	641
PYHIN1	1.0729707972605983e-15	642
LY9	1.065989312920245e-15	643
KCNJ11	1.062941085027646e-15	644
IL12RB1	1.0604476970324537e-15	645
SIT1	1.0597448032289397e-15	646
NPR1	1.0566530931139341e-15	647
STAT4	1.0562943828469438e-15	648
AOC3	1.053402818721963e-15	649
ID4	1.0516627028265331e-15	650
GPM6B	1.0503740262927975e-15	651
PCARE	1.049631689141901e-15	652
LINC00426	1.0474987008744823e-15	653
RNASE7	1.0408087123842341e-15	654
AC134043.3	1.0407162104262136e-15	655
IRF4	1.0294581002238072e-15	656
C10orf90	1.0289760226235233e-15	657
ROPN1B	1.0262466936624507e-15	658
JAML	1.018100439614311e-15	659
CA12	1.0072243797937222e-15	660
B3GALT1	1.0043180975961612e-15	661
HSD11B1	1.0007845475030206e-15	662
TNFRSF8	9.992415025057435e-16	663
TTYH1	9.975570232243576e-16	664
CLEC10A	9.938755700583326e-16	665
HAPLN3	9.864677207086285e-16	666
C8orf88	9.82177405941959e-16	667
CD27	9.808013105304632e-16	668
MLPH	9.77267723027068e-16	669
FOXC1	9.694027473381333e-16	670
EGFR	9.68610063410524e-16	671
AR	9.656404152379977e-16	672
RGMA	9.649898076936296e-16	673
GATA3-AS1	9.600020130442326e-16	674
CD19	9.552606302735154e-16	675
SLC44A4	9.523855672573435e-16	676
AIM2	9.483754961946857e-16	677
CST7	9.438745131710274e-16	678
ESR1	9.41688436082357e-16	679
AC093535.2	9.35474683914569e-16	680
PDE2A	9.350551542840552e-16	681
ADAMTS5	9.243193832855916e-16	682
ADAMTS9-AS2	9.20215788900615e-16	683
CRYAB	9.10973477178248e-16	684
SFRP1	9.099611272499618e-16	685
SOX9-AS1	9.07847459398864e-16	686
LINC00504	9.012284852935862e-16	687
STX11	8.9679412235881e-16	688
CYCSP30	8.879993641090703e-16	689
LINC02487	8.874503993968288e-16	690
ARHGEF4	8.789187572945682e-16	691
PTPRN2	8.663958286898228e-16	692
IL21R	8.654502222635833e-16	693
AC107959.1	8.617936820093036e-16	694
FOXA1	8.573832184915791e-16	695
S100B	8.562838422550731e-16	696
MPP6	8.544960408777141e-16	697
TBX21	8.512934667172005e-16	698
SNHG26	8.49320714397536e-16	699
PTPN7	8.455587871415118e-16	700
L3MBTL4	8.387673660820334e-16	701
AC007255.1	8.261039003973287e-16	702
ROCR	8.216744421547871e-16	703
LINC02202	8.133244577546009e-16	704
SNX20	8.019295056863226e-16	705
GZMB	8.011045539810301e-16	706
