RNA name	external_gene_name	GeneName	chromosome_name	start_position	end_position	strand	ensembl_gene_id	Biotyoe	TypeSimpl	Type	EntrezID	EntrezID.1	EntrezID.2
ENSG00000005102	MEOX1	MEOX1	17	43640388	43661954	-1	ENSG00000005102	protein_coding	coding	mRNA	4222	4222	4222
ENSG00000005108	THSD7A	THSD7A	7	11370357	11832198	-1	ENSG00000005108	protein_coding	coding	mRNA	221981	221981	221981
ENSG00000005187	ACSM3	ACSM3	16	20610243	20797581	1	ENSG00000005187	protein_coding	coding	mRNA	6296	6296	6296
ENSG00000005381	MPO	MPO	17	58269856	58280935	-1	ENSG00000005381	protein_coding	coding	mRNA	4353	4353	4353
ENSG00000005421	PON1	PON1	7	95297676	95324707	-1	ENSG00000005421	protein_coding	coding	mRNA	5444	5444	5444
ENSG00000005513	SOX8	SOX8	16	981808	986979	1	ENSG00000005513	protein_coding	coding	mRNA	30812	30812	30812
ENSG00000005961	ITGA2B	ITGA2B	17	44372180	44389505	-1	ENSG00000005961	protein_coding	coding	mRNA	3674	3674	3674
ENSG00000005981	ASB4	ASB4	7	95478444	95540232	1	ENSG00000005981	protein_coding	coding	mRNA	51666	51666	51666
ENSG00000006016	CRLF1	CRLF1	19	18572220	18607741	-1	ENSG00000006016	protein_coding	coding	mRNA	9244	9244	9244
ENSG00000006047	YBX2	YBX2	17	7288252	7294615	-1	ENSG00000006047	protein_coding	coding	mRNA	51087	51087	51087
ENSG00000006059	KRT33A	KRT33A	17	41346092	41350812	-1	ENSG00000006059	protein_coding	coding	mRNA	3883	3883	3883
ENSG00000006071	ABCC8	ABCC8	11	17392498	17476879	-1	ENSG00000006071	protein_coding	coding	mRNA	6833	6833	6833
ENSG00000006116	CACNG3	CACNG3	16	24255553	24362801	1	ENSG00000006116	protein_coding	coding	mRNA	10368	10368	10368
ENSG00000006128	TAC1	TAC1	7	97731908	97740472	1	ENSG00000006128	protein_coding	coding	mRNA	6863	6863	6863
ENSG00000006283	CACNA1G	CACNA1G	17	50561068	50627474	1	ENSG00000006283	protein_coding	coding	mRNA	8913	8913	8913
ENSG00000006377	DLX6	DLX6	7	97005548	97011039	1	ENSG00000006377	protein_coding	coding	mRNA	1750	1750	1750
ENSG00000006555	TTC22	TTC22	1	54779712	54801267	-1	ENSG00000006555	protein_coding	coding	mRNA	55001	55001	55001
ENSG00000006606	CCL26	CCL26	7	75769533	75789896	-1	ENSG00000006606	protein_coding	coding	mRNA	10344	10344	10344
ENSG00000006611	USH1C	USH1C	11	17493895	17544416	-1	ENSG00000006611	protein_coding	coding	mRNA	10083	10083	10083
ENSG00000006659	LGALS14	LGALS14	19	39704306	39709444	1	ENSG00000006659	protein_coding	coding	mRNA	56891	56891	56891
ENSG00000006747	SCIN	SCIN	7	12570577	12660179	1	ENSG00000006747	protein_coding	coding	mRNA	85477	85477	85477
ENSG00000006788	MYH13	MYH13	17	10300865	10373130	-1	ENSG00000006788	protein_coding	coding	mRNA	8735	8735	8735
ENSG00000007038	PRSS21	PRSS21	16	2817180	2826304	1	ENSG00000007038	protein_coding	coding	mRNA	10942	10942	10942
ENSG00000007062	PROM1	PROM1	4	15963076	16084378	-1	ENSG00000007062	protein_coding	coding	mRNA	8842	8842	8842
ENSG00000007129	CEACAM21	CEACAM21	19	41549518	41586844	1	ENSG00000007129	protein_coding	coding	mRNA	90273	90273	90273
ENSG00000007171	NOS2	NOS2	17	27756766	27800499	-1	ENSG00000007171	protein_coding	coding	mRNA	4843	4843	4843
ENSG00000007174	DNAH9	DNAH9	17	11598431	11969748	1	ENSG00000007174	protein_coding	coding	mRNA	1770	1770	1770
ENSG00000007216	SLC13A2	SLC13A2	17	28473293	28497781	1	ENSG00000007216	protein_coding	coding	mRNA	9058	9058	9058
ENSG00000007264	MATK	MATK	19	3777970	3802129	-1	ENSG00000007264	protein_coding	coding	mRNA	4145	4145	4145
ENSG00000007306	CEACAM7	CEACAM7	19	41673307	41706976	-1	ENSG00000007306	protein_coding	coding	mRNA	1087	1087	1087
ENSG00000007312	CD79B	CD79B	17	63928740	63932354	-1	ENSG00000007312	protein_coding	coding	mRNA	974	974	974
ENSG00000007314	SCN4A	SCN4A	17	63938554	63972918	-1	ENSG00000007314	protein_coding	coding	mRNA	6329	6329	6329
ENSG00000007350	TKTL1	TKTL1	X	154295671	154330350	1	ENSG00000007350	protein_coding	coding	mRNA	8277	8277	8277
ENSG00000007402	CACNA2D2	CACNA2D2	3	50362799	50504244	-1	ENSG00000007402	protein_coding	coding	mRNA	9254	9254	9254
ENSG00000007516	BAIAP3	BAIAP3	16	1333601	1349441	1	ENSG00000007516	protein_coding	coding	mRNA	8938	8938	8938
ENSG00000007908	SELE	SELE	1	169722641	169764705	-1	ENSG00000007908	protein_coding	coding	mRNA	6401	6401	6401
ENSG00000007933	FMO3	FMO3	1	171090877	171117819	1	ENSG00000007933	protein_coding	coding	mRNA	2328	2328	2328
ENSG00000007968	E2F2	E2F2	1	23506430	23531220	-1	ENSG00000007968	protein_coding	coding	mRNA	1870	1870	1870
ENSG00000008056	SYN1	SYN1	X	47571898	47619943	-1	ENSG00000008056	protein_coding	coding	mRNA	6853	6853	6853
ENSG00000008118	CAMK1G	CAMK1G	1	209583717	209613938	1	ENSG00000008118	protein_coding	coding	mRNA	57172	57172	57172
ENSG00000008196	TFAP2B	TFAP2B	6	50818723	50847613	1	ENSG00000008196	protein_coding	coding	mRNA	7021	7021	7021
ENSG00000008197	TFAP2D	TFAP2D	6	50713828	50772988	1	ENSG00000008197	protein_coding	coding	mRNA	83741	83741	83741
ENSG00000008226	DLEC1	DLEC1	3	38039205	38124025	1	ENSG00000008226	protein_coding	coding	mRNA	9940	9940	9940
ENSG00000008300	CELSR3	CELSR3	3	48636469	48662915	-1	ENSG00000008300	protein_coding	coding	mRNA	1951	1951	1951
ENSG00000008438	PGLYRP1	PGLYRP1	19	46019153	46023065	-1	ENSG00000008438	protein_coding	coding	mRNA	8993	8993	8993
ENSG00000008516	MMP25	MMP25	16	3046681	3060726	1	ENSG00000008516	protein_coding	coding	mRNA	64386	64386	64386
ENSG00000008735	MAPK8IP2	MAPK8IP2	22	50600685	50613981	1	ENSG00000008735	protein_coding	coding	mRNA	23542	23542	23542
ENSG00000009694	TENM1	TENM1	X	124375903	124963817	-1	ENSG00000009694	protein_coding	coding	mRNA	10178	10178	10178
ENSG00000009709	PAX7	PAX7	1	18631006	18748866	1	ENSG00000009709	protein_coding	coding	mRNA	5081	5081	5081
ENSG00000009724	MASP2	MASP2	1	11026523	11047233	-1	ENSG00000009724	protein_coding	coding	mRNA	10747	10747	10747
ENSG00000009765	IYD	IYD	6	150368892	150405969	1	ENSG00000009765	protein_coding	coding	mRNA	389434	389434	389434
ENSG00000009950	MLXIPL	MLXIPL	7	73593194	73624543	-1	ENSG00000009950	protein_coding	coding	mRNA	51085	51085	51085
ENSG00000010030	ETV7	ETV7	6	36354091	36387800	-1	ENSG00000010030	protein_coding	coding	mRNA	51513	51513	51513
ENSG00000010282	HHATL	HHATL	3	42692663	42702827	-1	ENSG00000010282	protein_coding	coding	mRNA	57467	57467	57467
ENSG00000010310	GIPR	GIPR	19	45668244	45683724	1	ENSG00000010310	protein_coding	coding	mRNA	2696	2696	2696
ENSG00000010379	SLC6A13	SLC6A13	12	220621	262873	-1	ENSG00000010379	protein_coding	coding	mRNA	6540	6540	6540
ENSG00000010438	PRSS3	PRSS3	9	33750466	33799231	1	ENSG00000010438	protein_coding	coding	mRNA	5646	5646	5646
ENSG00000010932	FMO1	FMO1	1	171248471	171285978	1	ENSG00000010932	protein_coding	coding	mRNA	2326	2326	2326
ENSG00000011052	NME1-NME2	NME1-NME2	17	51153590	51171744	1	ENSG00000011052	protein_coding	coding	mRNA	654364	654364	654364
ENSG00000011083	SLC6A7	SLC6A7	5	150189957	150222788	1	ENSG00000011083	protein_coding	coding	mRNA	6534	6534	6534
ENSG00000011332	DPF1	DPF1	19	38211006	38229714	-1	ENSG00000011332	protein_coding	coding	mRNA	8193	8193	8193
ENSG00000011426	ANLN	ANLN	7	36389806	36453791	1	ENSG00000011426	protein_coding	coding	mRNA	54443	54443	54443
ENSG00000011590	ZBTB32	ZBTB32	19	35704527	35717038	1	ENSG00000011590	protein_coding	coding	mRNA	27033	27033	27033
ENSG00000011677	GABRA3	GABRA3	X	152166234	152451358	-1	ENSG00000011677	protein_coding	coding	mRNA	2556	2556	2556
ENSG00000012124	CD22	CD22	19	35319261	35347355	1	ENSG00000012124	protein_coding	coding	mRNA	933	933	933
ENSG00000012171	SEMA3B	SEMA3B	3	50267558	50277546	1	ENSG00000012171	protein_coding	coding	mRNA	7869	7869	7869
ENSG00000012223	LTF	LTF	3	46435645	46485234	-1	ENSG00000012223	protein_coding	coding	mRNA	4057	4057	4057
ENSG00000012504	NR1H4	NR1H4	12	100473708	100564413	1	ENSG00000012504	protein_coding	coding	mRNA	9971	9971	9971
ENSG00000012817	KDM5D	KDM5D	Y	19703865	19744939	-1	ENSG00000012817	protein_coding	coding	mRNA	8284	8284	8284
ENSG00000013293	SLC7A14	SLC7A14	3	170459584	170586074	-1	ENSG00000013293	protein_coding	coding	mRNA	57709	57709	57709
ENSG00000013297	CLDN11	CLDN11	3	170418865	170454733	1	ENSG00000013297	protein_coding	coding	mRNA	5010	5010	5010
ENSG00000013725	CD6	CD6	11	60971680	61020377	1	ENSG00000013725	protein_coding	coding	mRNA	923	923	923
ENSG00000014257	ACPP	ACP3	3	132317367	132368298	1	ENSG00000014257	protein_coding	coding	mRNA	55	ND	55
ENSG00000015413	DPEP1	DPEP1	16	89613308	89638456	1	ENSG00000015413	protein_coding	coding	mRNA	1800	1800	1800
ENSG00000015520	NPC1L1	NPC1L1	7	44512535	44541315	-1	ENSG00000015520	protein_coding	coding	mRNA	29881	29881	29881
ENSG00000015568	RGPD5	RGPD5	2	109792758	109857695	1	ENSG00000015568	protein_coding	coding	mRNA	84220	84220	84220
ENSG00000015592	STMN4	STMN4	8	27235323	27258420	-1	ENSG00000015592	protein_coding	coding	mRNA	81551	81551	81551
ENSG00000016082	ISL1	ISL1	5	51383391	51394738	1	ENSG00000016082	protein_coding	coding	mRNA	3670	3670	3670
ENSG00000016402	IL20RA	IL20RA	6	136999971	137045180	-1	ENSG00000016402	protein_coding	coding	mRNA	53832	53832	53832
ENSG00000016490	CLCA1	CLCA1	1	86468368	86500289	1	ENSG00000016490	protein_coding	coding	mRNA	1179	1179	1179
ENSG00000016602	CLCA4	CLCA4	1	86547078	86580754	1	ENSG00000016602	protein_coding	coding	mRNA	22802	22802	22802
ENSG00000017427	IGF1	IGF1	12	102395874	102481744	-1	ENSG00000017427	protein_coding	coding	mRNA	3479	3479	3479
ENSG00000017483	SLC38A5	SLC38A5	X	48458537	48470256	-1	ENSG00000017483	protein_coding	coding	mRNA	92745	92745	92745
ENSG00000018236	CNTN1	CNTN1	12	40692442	41072418	1	ENSG00000018236	protein_coding	coding	mRNA	1272	1272	1272
ENSG00000018280	SLC11A1	SLC11A1	2	218382029	218396894	1	ENSG00000018280	protein_coding	coding	mRNA	6556	6556	6556
ENSG00000018607	ZNF806	ZNF806	2	132309309	132318736	1	ENSG00000018607	transcribed_unprocessed_pseudogene	other	pseudogene	ND	646915	646915
ENSG00000018625	ATP1A2	ATP1A2	1	160115759	160143591	1	ENSG00000018625	protein_coding	coding	mRNA	477	477	477
ENSG00000019102	VSIG2	VSIG2	11	124747472	124752238	-1	ENSG00000019102	protein_coding	coding	mRNA	23584	23584	23584
ENSG00000019169	MARCO	MARCO	2	118942166	118994660	1	ENSG00000019169	protein_coding	coding	mRNA	8685	8685	8685
ENSG00000019186	CYP24A1	CYP24A1	20	54153449	54173973	-1	ENSG00000019186	protein_coding	coding	mRNA	1591	1591	1591
ENSG00000019505	SYT13	SYT13	11	45240301	45286319	-1	ENSG00000019505	protein_coding	coding	mRNA	57586	57586	57586
ENSG00000020219	CCT8L1P	CCT8L1P	7	152445477	152447150	1	ENSG00000020219	processed_pseudogene	other	pseudogene	ND	155100	155100
ENSG00000021300	PLEKHB1	PLEKHB1	11	73646178	73662819	1	ENSG00000021300	protein_coding	coding	mRNA	58473	58473	58473
ENSG00000021461	CYP3A43	CYP3A43	7	99828013	99866102	1	ENSG00000021461	protein_coding	coding	mRNA	64816	64816	64816
ENSG00000021488	SLC7A9	SLC7A9	19	32830509	32869766	-1	ENSG00000021488	protein_coding	coding	mRNA	11136	11136	11136
ENSG00000021645	NRXN3	NRXN3	14	78170373	79868290	1	ENSG00000021645	protein_coding	coding	mRNA	9369	9369	9369
ENSG00000021826	CPS1	CPS1	2	210477682	210679107	1	ENSG00000021826	protein_coding	coding	mRNA	1373	1373	1373
ENSG00000021852	C8B	C8B	1	56929210	56966140	-1	ENSG00000021852	protein_coding	coding	mRNA	732	732	732
ENSG00000022267	FHL1	FHL1	X	136146702	136211359	1	ENSG00000022267	protein_coding	coding	mRNA	2273	2273	2273
ENSG00000022355	GABRA1	GABRA1	5	161847063	161899981	1	ENSG00000022355	protein_coding	coding	mRNA	2554	2554	2554
ENSG00000022556	NLRP2	NLRP2	19	54953130	55001142	1	ENSG00000022556	protein_coding	coding	mRNA	55655	55655	55655
ENSG00000023839	ABCC2	ABCC2	10	99782640	99852594	1	ENSG00000023839	protein_coding	coding	mRNA	1244	1244	1244
ENSG00000024526	DEPDC1	DEPDC1	1	68474152	68497221	-1	ENSG00000024526	protein_coding	coding	mRNA	55635	55635	55635
ENSG00000025423	HSD17B6	HSD17B6	12	56752161	56787790	1	ENSG00000025423	protein_coding	coding	mRNA	8630	8630	8630
ENSG00000026559	KCNG1	KCNG1	20	51003656	51023129	-1	ENSG00000026559	protein_coding	coding	mRNA	3755	3755	3755
ENSG00000026751	SLAMF7	SLAMF7	1	160739057	160754821	1	ENSG00000026751	protein_coding	coding	mRNA	57823	57823	57823
ENSG00000027644	INSRR	INSRR	1	156840063	156859018	-1	ENSG00000027644	protein_coding	coding	mRNA	3645	3645	3645
ENSG00000027869	SH2D2A	SH2D2A	1	156806243	156816862	-1	ENSG00000027869	protein_coding	coding	mRNA	9047	9047	9047
ENSG00000029153	ARNTL2	ARNTL2	12	27332854	27425289	1	ENSG00000029153	protein_coding	coding	mRNA	56938	56938	56938
ENSG00000029534	ANK1	ANK1	8	41653220	41896762	-1	ENSG00000029534	protein_coding	coding	mRNA	286	286	286
ENSG00000029559	IBSP	IBSP	4	87799581	87812435	1	ENSG00000029559	protein_coding	coding	mRNA	3381	3381	3381
ENSG00000030304	MUSK	MUSK	9	110668771	110801620	1	ENSG00000030304	protein_coding	coding	mRNA	4593	4593	4593
ENSG00000034053	APBA2	APBA2	15	28884483	29118315	1	ENSG00000034053	protein_coding	coding	mRNA	321	321	321
ENSG00000034239	EFCAB1	EFCAB1	8	48710789	48735311	-1	ENSG00000034239	protein_coding	coding	mRNA	79645	79645	79645
ENSG00000034971	MYOC	MYOC	1	171635417	171652683	-1	ENSG00000034971	protein_coding	coding	mRNA	4653	4653	4653
ENSG00000035499	DEPDC1B	DEPDC1B	5	60596912	60700190	-1	ENSG00000035499	protein_coding	coding	mRNA	55789	55789	55789
ENSG00000035720	STAP1	STAP1	4	67558728	67607337	1	ENSG00000035720	protein_coding	coding	mRNA	26228	26228	26228
ENSG00000036448	MYOM2	MYOM2	8	2045040	2165552	1	ENSG00000036448	protein_coding	coding	mRNA	9172	9172	9172
ENSG00000036473	OTC	OTC	X	38352545	38421450	1	ENSG00000036473	protein_coding	coding	mRNA	5009	5009	5009
ENSG00000036530	CYP46A1	CYP46A1	14	99684304	99727301	1	ENSG00000036530	protein_coding	coding	mRNA	10858	10858	10858
ENSG00000036565	SLC18A1	SLC18A1	8	20144855	20183206	-1	ENSG00000036565	protein_coding	coding	mRNA	6570	6570	6570
ENSG00000036672	USP2	USP2	11	119355215	119381726	-1	ENSG00000036672	protein_coding	coding	mRNA	9099	9099	9099
ENSG00000036828	CASR	CASR	3	122183683	122291629	1	ENSG00000036828	protein_coding	coding	mRNA	846	846	846
ENSG00000038295	TLL1	TLL1	4	165873258	166103895	1	ENSG00000038295	protein_coding	coding	mRNA	7092	7092	7092
ENSG00000039139	DNAH5	DNAH5	5	13690331	13944543	-1	ENSG00000039139	protein_coding	coding	mRNA	1767	1767	1767
ENSG00000039537	C6	C6	5	41142234	41261438	-1	ENSG00000039537	protein_coding	coding	mRNA	729	729	729
ENSG00000039600	SOX30	SOX30	5	157625679	157671480	-1	ENSG00000039600	protein_coding	coding	mRNA	11063	11063	11063
ENSG00000039987	BEST2	BEST2	19	12751702	12758458	1	ENSG00000039987	protein_coding	coding	mRNA	54831	54831	54831
ENSG00000040731	CDH10	CDH10	5	24487100	24644978	-1	ENSG00000040731	protein_coding	coding	mRNA	1008	1008	1008
ENSG00000041515	MYO16	MYO16	13	108596152	109208007	1	ENSG00000041515	protein_coding	coding	mRNA	23026	23026	23026
ENSG00000042062	RIPOR3	RIPOR3	20	50586108	50691528	-1	ENSG00000042062	protein_coding	coding	mRNA	140876	140876	140876
ENSG00000042781	USH2A	USH2A	1	215622894	216423396	-1	ENSG00000042781	protein_coding	coding	mRNA	7399	7399	7399
ENSG00000042813	ZPBP	ZPBP	7	49850421	50121329	-1	ENSG00000042813	protein_coding	coding	mRNA	11055	11055	11055
ENSG00000042832	TG	TG	8	132866958	133134903	1	ENSG00000042832	protein_coding	coding	mRNA	7038	7038	7038
ENSG00000043039	BARX2	BARX2	11	129375940	129452279	1	ENSG00000043039	protein_coding	coding	mRNA	8538	8538	8538
ENSG00000043355	ZIC2	ZIC2	13	99981772	99986773	1	ENSG00000043355	protein_coding	coding	mRNA	7546	7546	7546
ENSG00000043591	ADRB1	ADRB1	10	114044056	114046908	1	ENSG00000043591	protein_coding	coding	mRNA	153	153	153
ENSG00000044524	EPHA3	EPHA3	3	89107524	89482134	1	ENSG00000044524	protein_coding	coding	mRNA	2042	2042	2042
ENSG00000046653	GPM6B	GPM6B	X	13771031	13938638	-1	ENSG00000046653	protein_coding	coding	mRNA	2824	2824	2824
ENSG00000046774	MAGEC2	MAGEC2	X	142202345	142205290	-1	ENSG00000046774	protein_coding	coding	mRNA	51438	51438	51438
ENSG00000046889	PREX2	PREX2	8	67952118	68237030	1	ENSG00000046889	protein_coding	coding	mRNA	80243	80243	80243
ENSG00000047457	CP	CP	3	149162410	149222055	-1	ENSG00000047457	protein_coding	coding	mRNA	1356	1356	1356
ENSG00000047597	XK	XK	X	37685756	37732130	1	ENSG00000047597	protein_coding	coding	mRNA	7504	7504	7504
ENSG00000047617	ANO2	ANO2	12	5531869	5946232	-1	ENSG00000047617	protein_coding	coding	mRNA	57101	57101	57101
ENSG00000047662	FAM184B	FAM184B	4	17629306	17781512	-1	ENSG00000047662	protein_coding	coding	mRNA	27146	27146	27146
ENSG00000047936	ROS1	ROS1	6	117288300	117425855	-1	ENSG00000047936	protein_coding	coding	mRNA	6098	6098	6098
ENSG00000048052	HDAC9	HDAC9	7	18086949	19002416	1	ENSG00000048052	protein_coding	coding	mRNA	9734	9734	9734
ENSG00000048462	TNFRSF17	TNFRSF17	16	11965107	11968068	1	ENSG00000048462	protein_coding	coding	mRNA	608	608	608
ENSG00000048540	LMO3	LMO3	12	16548373	16610594	-1	ENSG00000048540	protein_coding	coding	mRNA	55885	55885	55885
ENSG00000048545	GUCA1A	GUCA1A	6	42155406	42180056	1	ENSG00000048545	protein_coding	coding	mRNA	2978	2978	2978
ENSG00000049089	COL9A2	COL9A2	1	40300487	40317813	-1	ENSG00000049089	protein_coding	coding	mRNA	1298	1298	1298
ENSG00000049192	ADAMTS6	ADAMTS6	5	65148736	65481920	-1	ENSG00000049192	protein_coding	coding	mRNA	11174	11174	11174
ENSG00000049247	UTS2	UTS2	1	7843083	7853512	-1	ENSG00000049247	protein_coding	coding	mRNA	10911	10911	10911
ENSG00000049249	TNFRSF9	TNFRSF9	1	7915894	7943165	-1	ENSG00000049249	protein_coding	coding	mRNA	3604	3604	3604
ENSG00000049540	ELN	ELN	7	74027789	74069907	1	ENSG00000049540	protein_coding	coding	mRNA	2006	2006	2006
ENSG00000049768	FOXP3	FOXP3	X	49250436	49264826	-1	ENSG00000049768	protein_coding	coding	mRNA	50943	50943	50943
ENSG00000050030	NEXMIF	NEXMIF	X	74732856	74925485	-1	ENSG00000050030	protein_coding	coding	mRNA	340533	340533	340533
ENSG00000050438	SLC4A8	SLC4A8	12	51391317	51515763	1	ENSG00000050438	protein_coding	coding	mRNA	9498	9498	9498
ENSG00000050555	LAMC3	LAMC3	9	131009082	131094473	1	ENSG00000050555	protein_coding	coding	mRNA	10319	10319	10319
ENSG00000050628	PTGER3	PTGER3	1	70852353	71047808	-1	ENSG00000050628	protein_coding	coding	mRNA	5733	5733	5733
ENSG00000050730	TNIP3	TNIP3	4	121131408	121227466	-1	ENSG00000050730	protein_coding	coding	mRNA	79931	79931	79931
ENSG00000050767	COL23A1	COL23A1	5	178237618	178590555	-1	ENSG00000050767	protein_coding	coding	mRNA	91522	91522	91522
ENSG00000051341	POLQ	POLQ	3	121431427	121546641	-1	ENSG00000051341	protein_coding	coding	mRNA	10721	10721	10721
ENSG00000052850	ALX4	ALX4	11	44260440	44310166	-1	ENSG00000052850	protein_coding	coding	mRNA	60529	60529	60529
ENSG00000053108	FSTL4	FSTL4	5	133196455	133612564	-1	ENSG00000053108	protein_coding	coding	mRNA	23105	23105	23105
ENSG00000053328	METTL24	METTL24	6	110245928	110358272	-1	ENSG00000053328	protein_coding	coding	mRNA	728464	728464	728464
ENSG00000053438	NNAT	NNAT	20	37521206	37523693	1	ENSG00000053438	protein_coding	coding	mRNA	4826	4826	4826
ENSG00000053524	MCF2L2	MCF2L2	3	183178043	183428778	-1	ENSG00000053524	protein_coding	coding	mRNA	23101	23101	23101
ENSG00000053747	LAMA3	LAMA3	18	23689443	23956222	1	ENSG00000053747	protein_coding	coding	mRNA	3909	3909	3909
ENSG00000054356	PTPRN	PTPRN	2	219289623	219309648	-1	ENSG00000054356	protein_coding	coding	mRNA	5798	5798	5798
ENSG00000054598	FOXC1	FOXC1	6	1609972	1613897	1	ENSG00000054598	protein_coding	coding	mRNA	2296	2296	2296
ENSG00000054796	SPO11	SPO11	20	57329759	57343994	1	ENSG00000054796	protein_coding	coding	mRNA	23626	23626	23626
ENSG00000054803	CBLN4	CBLN4	20	55997440	56005472	-1	ENSG00000054803	protein_coding	coding	mRNA	140689	140689	140689
ENSG00000054938	CHRDL2	CHRDL2	11	74696429	74731385	-1	ENSG00000054938	protein_coding	coding	mRNA	25884	25884	25884
ENSG00000055118	KCNH2	KCNH2	7	150944961	150978315	-1	ENSG00000055118	protein_coding	coding	mRNA	3757	3757	3757
ENSG00000055732	MCOLN3	MCOLN3	1	85018082	85048499	-1	ENSG00000055732	protein_coding	coding	mRNA	55283	55283	55283
ENSG00000055813	CCDC85A	CCDC85A	2	56184123	56386173	1	ENSG00000055813	protein_coding	coding	mRNA	114800	114800	114800
ENSG00000055955	ITIH4	ITIH4	3	52812975	52831479	-1	ENSG00000055955	protein_coding	coding	mRNA	3700	3700	3700
ENSG00000055957	ITIH1	ITIH1	3	52777592	52792068	1	ENSG00000055957	protein_coding	coding	mRNA	3697	3697	3697
ENSG00000056291	NPFFR2	NPFFR2	4	72031804	72148067	1	ENSG00000056291	protein_coding	coding	mRNA	10886	10886	10886
ENSG00000056487	PHF21B	PHF21B	22	44881162	45009999	-1	ENSG00000056487	protein_coding	coding	mRNA	112885	112885	112885
ENSG00000056998	GYG2	GYG2	X	2828788	2882820	1	ENSG00000056998	protein_coding	coding	mRNA	8908	8908	8908
ENSG00000057149	SERPINB3	SERPINB3	18	63655197	63661963	-1	ENSG00000057149	protein_coding	coding	mRNA	6317	6317	6317
ENSG00000057468	MSH4	MSH4	1	75796882	75913238	1	ENSG00000057468	protein_coding	coding	mRNA	4438	4438	4438
ENSG00000057593	F7	F7	13	113105788	113120681	1	ENSG00000057593	protein_coding	coding	mRNA	2155	2155	2155
ENSG00000058085	LAMC2	LAMC2	1	183186238	183244900	1	ENSG00000058085	protein_coding	coding	mRNA	3918	3918	3918
ENSG00000058335	RASGRF1	RASGRF1	15	78959947	79090773	-1	ENSG00000058335	protein_coding	coding	mRNA	5923	5923	5923
ENSG00000058404	CAMK2B	CAMK2B	7	44217150	44334577	-1	ENSG00000058404	protein_coding	coding	mRNA	816	816	816
ENSG00000058866	DGKG	DGKG	3	186105668	186362237	-1	ENSG00000058866	protein_coding	coding	mRNA	1608	1608	1608
ENSG00000060140	STYK1	STYK1	12	10618939	10674318	-1	ENSG00000060140	protein_coding	coding	mRNA	55359	55359	55359
ENSG00000060303	RPS17P5	RPS17P5	6	50857255	50857662	-1	ENSG00000060303	processed_pseudogene	other	pseudogene	ND	442216	442216
ENSG00000060566	CREB3L3	CREB3L3	19	4153601	4173054	1	ENSG00000060566	protein_coding	coding	mRNA	84699	84699	84699
