RNA	Complexity Score	Complexity Rank	Sign
"MTMR1"	0.19194806409691298	2	+
"IDS"	0.005679156760261126	22	+
"YIPF1"	0.009318634563039212	17	+
"CDC14A"	0.0068757250718709225	20	+
"CRAMP1"	0.06993054075490387	5	+
"DPEP1"	1.649114997147893e-261	70	-
"ARNTL2"	2.9081057918604627e-261	68	-
"FOXP3"	5.629143224739637e-270	88	-
"PRDM1"	5.589193600564068e-270	89	-
"RASGRF1"	1.0404678136149077e-268	84	-
"IPCEF1"	1.6152240793607583e-267	81	-
"ENO1"	3.658166814758992e-269	86	-
"CST7"	3.4736131702909432e-270	90	-
"MAPK8IP2"	7.805841010848192e-262	74	-
"YIPF1"	2.6057331761010022e-269	87	-
"COASY"	2.8851640253661685e-262	77	-
"ZNF446"	1.9691973069354755e-262	78	-
"ATG16L1"	3.30890784781403e-262	76	-
"CFH"	4.464485010890026e-272	91	-
"LAP3"	3.166646639380861e-261	66	-
"PNPLA6"	1.01283403230123e-260	61	-
"MSR1"	1.3684406624477427e-265	79	-
"C6"	1.0921273064723199e-224	28	-
"TMCC3"	8.256523497368336e-261	62	-
"CYB5R4"	6.32107234674144e-224	23	-
"ST6GALNAC1"	8.680074827565894e-225	31	-
"PLD1"	3.194043911509501e-260	59	-
"RARB"	4.402952272085389e-229	50	-
"ME2"	3.313935092963645e-227	44	-
"PPP1R15A"	2.569367112845028e-227	46	-
"CETP"	2.4844907610479205e-261	69	-
"GPM6B"	7.331897456772048e-259	56	-
"SCML1"	2.072797490423324e-223	20	-
"PVR"	3.312172380743629e-227	45	-
"FOSL2"	1.931769650047548e-223	21	-
"MCAM"	5.825676504144143e-261	64	-
"RDH8"	1.2871842240053019e-222	18	-
"FAT1"	4.4106167396602876e-229	49	-
"METTL1"	1.5972188855523204e-11	6	-
"CTPS2"	1.549159407081559e-261	71	-
"MRPS10"	1.3968638866714858e-268	83	-
"MSMO1"	1.5972188855523204e-11	7	-
"RRP15"	7.457216888026637e-154	15	-
"HMMR"	6.649069922154466e-262	75	-
"MCM2"	8.319377313051057e-262	73	-
"HSP90AA1"	1.5972188855523204e-11	8	-
"WBP11"	1.5972188855523204e-11	9	-
"DOCK3"	9.746670093208853e-225	30	-
"PREP"	4.2085796604399536e-228	47	-
"SLC7A2"	9.470913896370654e-154	13	-
"ZNF112"	9.470913896370654e-154	14	-
"MAST4"	1.7217818963660688e-225	37	-
"NEBL"	3.849480304896729e-260	57	-
"C1QTNF3"	7.457476542224557e-268	82	-
"SLC6A15"	2.426872342454469e-230	53	-
"SLCO1A2"	9.32685760299346e-231	54	-
"HSD17B2"	1.190224645050763e-228	48	-
"ACSM3"	9.134980440794307e-227	41	-
"AASS"	3.029572035356347e-230	52	-
"IDS"	4.318201554831504e-223	19	-
"CLCN6"	4.1381380572045136e-227	43	-
"SNX1"	1.622830822362591e-225	38	-
"ARID4A"	1.57151477709511e-223	22	-
"VAMP3"	6.081872030617444e-225	32	-
"GYG2"	5.653735988032511e-225	33	-
"COL17A1"	2.1873502209528006e-226	39	-
"CLDN18"	3.990717759881328e-225	35	-
"MGLL"	4.141140309284961e-224	24	-
"CDC14A"	3.0297381621420505e-230	51	-
"BCL3"	3.5757218526538965e-261	65	-
"CLASP1"	9.888274527610865e-225	29	-
"HYAL2"	8.277958671342433e-227	42	-
"MRTO4"	2.150419924374443e-226	40	-
"ZXDC"	3.226397427512094e-224	25	-
"CAD"	7.5023669898889755e-261	63	-
"USP2"	2.6806771137331148e-225	36	-
"RPAP3"	1.2704239465306703e-261	72	-
"NUCKS1"	7.457216888026637e-154	16	-
"EPHA3"	2.0757541251898244e-224	27	-
"ADGRL1"	2.909983611377679e-73	10	-
"BPIFB2"	1.0157355056259454e-258	55	-
"ITGB5"	2.839274339041994e-222	17	-
"ULK2"	2.909983611377679e-73	11	-
"CPNE3"	2.909983611377679e-73	12	-
"SPAG4"	5.071652616213831e-269	85	-
"PHKA1"	3.0585741559196107e-261	67	-
"IP6K2"	4.061020175398371e-225	34	-
"TTC19"	0.19999999998722226	1	-
"ZMYND11"	0.19999999998722226	2	-
"MPP5"	0.19999999998722226	3	-
"TM9SF3"	0.19999999998722226	4	-
"RABL2B"	0.19999999998722226	5	-
"MPND"	1.1168679910164918e-260	60	-
"SNCB"	3.215182619833992e-224	26	-
"UTP18"	3.4437356725543815e-260	58	-
"LRCH4"	7.583480783882535e-267	80	-
