DNA	Fitness Score	Fitness Rank	Sign
cg02592133	('CG_of_ESR1_regulated',)	8.557401864692805e-06	159	+
cg00872683	('CG_of_ESR1_regulated',)	8.557401864692805e-06	160	+
cg06340364	('CG_of_ESR1_regulated',)	8.557401864692805e-06	161	+
cg02171771	('CG_of_ESR1_regulated',)	8.557401864692805e-06	162	+
cg07243147	('CG_of_ESR1_regulated',)	8.557401864692805e-06	163	+
cg03544499	('CG_of_ESR1_regulated',)	8.557401864692805e-06	164	+
cg01754756	('CG_of_ESR1_regulated',)	8.557401864692805e-06	165	+
cg05697249	('CG_of_ESR1_regulated',)	8.557401864692805e-06	166	+
cg07807026	('CG_of_ESR1_regulated',)	8.557401864692805e-06	167	+
cg01306688	('CG_of_ESR1_regulated',)	8.557401864692805e-06	168	+
cg01267709	('CG_of_ESR1_regulated',)	8.557401864692805e-06	169	+
cg04158862	('CG_of_ESR1_regulated',)	8.557401864692805e-06	170	+
cg01991934	('CG_of_ESR1_regulated',)	8.557401864692805e-06	171	+
cg02479497	('CG_of_ESR1_regulated',)	8.557401864692805e-06	172	+
cg05341260	('CG_of_ESR1_regulated',)	8.557401864692805e-06	173	+
cg00735611	('CG_of_ESR1_regulated',)	8.557401864692805e-06	174	+
cg07327299	('CG_of_ESR1_regulated',)	8.557401864692805e-06	175	+
cg05505961	('CG_of_ESR1_regulated',)	8.557401864692805e-06	176	+
cg04268643	('CG_of_ESR1_regulated',)	8.557401864692805e-06	177	+
cg04498014	('CG_of_ESR1_regulated',)	8.557401864692805e-06	178	+
cg04178634	('CG_of_ESR1_regulated',)	8.557401864692805e-06	179	+
cg07643267	('CG_of_ESR1_regulated',)	8.557401864692805e-06	180	+
cg00952322	('CG_of_ESR1_regulated',)	8.557401864692805e-06	181	+
cg12737152	('CG_of_ESR1_regulated',)	8.557401864692805e-06	182	+
cg10444350	('CG_of_ESR1_regulated',)	8.557401864692805e-06	183	+
cg13556253	('CG_of_ESR1_regulated',)	8.557401864692805e-06	184	+
cg23543604	('CG_of_ESR1_regulated',)	8.557401864692805e-06	185	+
cg21210531	('CG_of_ESR1_regulated',)	8.557401864692805e-06	186	+
cg21038780	('CG_of_ESR1_regulated',)	8.557401864692805e-06	187	+
cg24704593	('CG_of_ESR1_regulated',)	8.557401864692805e-06	188	+
cg17826679	('CG_of_ESR1_regulated',)	8.557401864692805e-06	189	+
cg24751886	('CG_of_ESR1_regulated',)	8.557401864692805e-06	190	+
cg02385230	('CG_of_ESR1_regulated',)	0.5018466752422758	1	-
cg03633268	('CG_of_ESR1_regulated',)	0.1446707037735615	2	-
cg24546153	('CG_of_ESR1_regulated',)	0.0680958999953552	3	-
cg20078972	('CG_of_ESR1_regulator',)	0.05406933130142676	4	-
cg19321739	('CG_of_ESR1_regulated',)	0.053382670725209115	5	-
cg03190578	('CG_of_ESR1_regulated',)	0.02885979094914336	6	-
cg03228065	('CG_of_ESR1_regulated',)	0.02885979094914336	7	-
cg16013349	('CG_of_ESR1_regulated',)	0.02317381199833907	8	-
cg02212575	('CG_of_ESR1_regulated',)	0.012904586603433249	9	-
cg02711212	('CG_of_ESR1_regulated',)	0.012904586603433249	10	-
cg12793502	('CG_of_ESR1_regulated',)	0.009118686117006834	11	-
cg23093590	('CG_of_ESR1_regulated',)	0.009118686117006834	12	-
cg25338818	('CG_of_ESR1_regulated',)	0.009118686117006834	13	-
cg05327192	('CG_of_ESR1_regulated',)	0.00834141142605676	14	-
cg04692506	('CG_of_ESR1_regulator',)	0.007254072006616057	15	-
cg16516270	('CG_of_ESR1_regulated',)	0.005934482410428772	16	-
cg09859794	('CG_of_ESR1_regulated',)	0.005934482410428772	17	-
cg09757400	('CG_of_ESR1_regulated',)	0.0029151640622731316	18	-
cg23280778	('CG_of_ESR1_regulated',)	0.002541627765950892	19	-
cg22442557	('CG_of_ESR1_regulated',)	0.002541627765950892	20	-
cg01815912	('CG_of_ESR1_regulated',)	0.0004414082841893511	21	-
cg12301620	('CG_of_ESR1_regulated',)	0.0004414082841893511	22	-
cg27515243	('CG_of_ESR1_regulated',)	0.0004414082841893511	23	-
cg19756097	('CG_of_ESR1_regulated',)	0.0004414082841893511	24	-
cg00992348	('CG_of_ESR1_regulated',)	0.00040079915261354373	25	-
cg03635073	('CG_of_ESR1_regulated',)	0.00040079915261354373	26	-
cg06099014	('CG_of_ESR1_regulated',)	0.00040079915261354373	27	-
cg02643667	('CG_of_ESR1_regulated',)	0.00040079915261354373	28	-
cg05919105	('CG_of_ESR1_regulated',)	0.00030165229499526516	29	-
cg04806409	('CG_of_ESR1_regulated',)	0.00030165229499526516	30	-
cg11285937	('CG_of_ESR1_regulated',)	0.00030165229499526516	31	-
cg12535596	('CG_of_ESR1_regulated',)	0.00029856985614690407	32	-
cg12048310	('CG_of_ESR1_regulated',)	0.00029856985614690407	33	-
cg12094965	('CG_of_ESR1_regulated',)	0.00029856985614690407	34	-
cg11176186	('CG_of_ESR1_regulated',)	0.00029856985614690407	35	-
cg02464901	('CG_of_ESR1_regulated',)	0.0002171410511557843	36	-
cg00067884	('CG_of_ESR1_regulated',)	0.0002171410511557843	37	-
cg05041265	('CG_of_ESR1_regulated',)	0.000176531919579977	38	-
cg02389084	('CG_of_ESR1_regulated',)	0.000176531919579977	39	-
cg06974428	('CG_of_ESR1_regulated',)	0.000176531919579977	40	-
cg07080231	('CG_of_ESR1_regulated',)	0.000176531919579977	41	-
cg08836861	('CG_of_ESR1_regulated',)	0.00013975598919408586	42	-
cg06428196	('CG_of_ESR1_regulated',)	0.0001346112116053797	43	-
cg05499499	('CG_of_ESR1_regulated',)	0.0001346112116053797	44	-
cg04280772	('CG_of_ESR1_regulated',)	0.0001346112116053797	45	-
cg02104952	('CG_of_ESR1_regulated',)	8.252983955040459e-05	46	-
cg22512377	('CG_of_ESR1_regulated',)	8.252983955040459e-05	47	-
cg01962821	('CG_of_ESR1_regulated',)	7.738506196169845e-05	48	-
cg03055271	('CG_of_ESR1_regulated',)	7.738506196169845e-05	49	-
cg06827850	('CG_of_ESR1_regulated',)	7.738506196169845e-05	50	-
cg05855983	('CG_of_ESR1_regulated',)	7.607348556290843e-05	51	-
cg04547002	('CG_of_ESR1_regulated',)	4.1920707974597294e-05	52	-
cg00542261	('CG_of_ESR1_regulated',)	4.1920707974597294e-05	53	-
cg00673191	('CG_of_ESR1_regulated',)	4.1920707974597294e-05	54	-
cg17678946	('CG_of_ESR1_regulated',)	4.1920707974597294e-05	55	-
cg17077776	('CG_of_ESR1_regulated',)	4.1920707974597294e-05	56	-
cg03387103	('CG_of_ESR1_regulated',)	4.060913157580729e-05	57	-
cg02512867	('CG_of_ESR1_regulated',)	4.060913157580729e-05	58	-
cg02568716	('CG_of_ESR1_regulated',)	4.060913157580729e-05	59	-
cg03998598	('CG_of_ESR1_regulated',)	4.060913157580729e-05	60	-
cg11987090	('CG_of_ESR1_regulated',)	4.060913157580729e-05	61	-
cg11938491	('CG_of_ESR1_regulated',)	4.060913157580729e-05	62	-
cg15043801	('CG_of_ESR1_regulated',)	4.060913157580729e-05	63	-
cg18174678	('CG_of_ESR1_regulated',)	4.060913157580729e-05	64	-
cg18263686	('CG_of_ESR1_regulated',)	4.060913157580729e-05	65	-
cg05089968	('CG_of_ESR1_regulated',)	3.546435398710115e-05	66	-
cg03995434	('CG_of_ESR1_regulated',)	3.546435398710115e-05	67	-
cg01099300	('CG_of_ESR1_regulated',)	3.546435398710115e-05	68	-
cg02477603	('CG_of_ESR1_regulated',)	3.546435398710115e-05	69	-
cg16773127	('CG_of_ESR1_regulated',)	3.546435398710115e-05	70	-
cg18623708	('CG_of_ESR1_regulated',)	3.546435398710115e-05	71	-
