DNA	Fitness Score	Fitness Rank	Sign
cg09920632	('CG_of_ESR1_regulated',)	1.398629971347303e-16	52	+
cg22408278	('CG_of_ESR1_regulated',)	1.317885285223766e-16	53	+
cg23097033	('CG_of_ESR1_regulated',)	1.3066161150856848e-16	54	+
cg10617287	('CG_of_ESR1_regulated',)	1.0332306887448378e-16	55	+
cg18011946	('CG_of_ESR1_regulated',)	1.0332306887448378e-16	56	+
cg22192301	('CG_of_ESR1_regulated',)	9.527381802823982e-17	57	+
cg15858894	('CG_of_ESR1_regulated',)	8.719934941588614e-17	58	+
cg17873919	('CG_of_ESR1_regulated',)	6.158692306661138e-17	59	+
cg23859078	('CG_of_ESR1_regulated',)	4.195725010714277e-17	60	+
cg25879142	('CG_of_ESR1_regulated',)	3.5941636896287066e-17	61	+
cg26690834	('CG_of_ESR1_regulated',)	3.48619678705348e-17	62	+
cg23634478	('CG_of_ESR1_regulated',)	2.884036156033667e-17	63	+
cg15046735	('CG_of_ESR1_regulated',)	2.819266138311725e-17	64	+
cg22877504	('CG_of_ESR1_regulated',)	2.819266138311725e-17	65	+
cg16695597	('CG_of_ESR1_regulated',)	2.8026775298375154e-17	66	+
cg01934781	('CG_of_ESR1_regulated',)	2.5586964330628128e-17	67	+
cg02856716	('CG_of_ESR1_regulated',)	2.4009877755740547e-17	68	+
cg07414392	('CG_of_ESR1_regulated',)	2.4009877755740547e-17	69	+
cg06252985	('CG_of_ESR1_regulated',)	2.4009877755740547e-17	70	+
cg02299497	('CG_of_ESR1_regulated',)	1.8058067025953878e-17	71	+
cg17140469	('CG_of_ESR1_regulated',)	1.7298792367504045e-17	72	+
cg03875819	('CG_of_ESR1_regulated',)	1.7291730048074006e-17	73	+
cg05205532	('CG_of_ESR1_regulated',)	1.3315613773640771e-17	74	+
cg03837680	('CG_of_ESR1_regulated',)	1.3265979695895462e-17	75	+
cg03243965	('CG_of_ESR1_regulated',)	1.3218626308141799e-17	76	+
cg15668500	('CG_of_ESR1_regulated',)	1.3218626308141799e-17	77	+
cg10657986	('CG_of_ESR1_regulated',)	1.2372390238886284e-17	78	+
cg12279294	('CG_of_ESR1_regulator',)	1.0694263982099792e-17	79	+
cg03496533	('CG_of_ESR1_regulated',)	1.0345514943883495e-17	80	+
cg11608447	('CG_of_ESR1_regulated',)	9.22432375515036e-18	81	+
cg25114580	('CG_of_ESR1_regulated',)	9.213547973499038e-18	82	+
cg21913681	('CG_of_ESR1_regulated',)	8.288510592194054e-18	83	+
cg16226627	('CG_of_ESR1_regulated',)	8.270355145514374e-18	84	+
cg22356484	('CG_of_ESR1_regulated',)	8.270355145514374e-18	85	+
cg13316191	('CG_of_ESR1_regulated',)	8.263292826084345e-18	86	+
cg18129105	('CG_of_ESR1_regulated',)	8.240354697095766e-18	87	+
cg03840849	('CG_of_ESR1_regulated',)	7.532250123738652e-18	88	+
cg02983759	('CG_of_ESR1_regulated',)	7.072247128022412e-18	89	+
cg04663842	('CG_of_ESR1_regulated',)	7.071547730686869e-18	90	+
cg00160388	('CG_of_ESR1_regulated',)	7.071547730686869e-18	91	+
cg20893956	('CG_of_ESR1_regulator',)	6.8871810711496244e-18	92	+
cg24091570	('CG_of_ESR1_regulated',)	6.429132099826688e-18	93	+
cg05191839	('CG_of_ESR1_regulated',)	6.3832303527748706e-18	94	+
cg10870055	('CG_of_ESR1_regulated',)	6.37949802208138e-18	95	+
cg06866375	('CG_of_ESR1_regulated',)	6.376145203016988e-18	96	+
cg05032848	('CG_of_ESR1_regulated',)	6.376145203016988e-18	97	+
cg18710383	('CG_of_ESR1_regulated',)	6.376145203016988e-18	98	+
cg07891533	('CG_of_ESR1_regulated',)	4.5471854046448574e-18	99	+
cg00442282	('CG_of_ESR1_regulated',)	4.5471854046448574e-18	100	+
cg05653018	('CG_of_ESR1_regulated',)	4.102148298265139e-18	101	+
cg11674664	('CG_of_ESR1_regulated',)	3.2279352110619256e-18	102	+
cg21019253	('CG_of_ESR1_regulated',)	3.2279352110619256e-18	103	+
cg03546360	('CG_of_ESR1_regulated',)	3.165688085207091e-18	104	+
cg03655701	('CG_of_ESR1_regulated',)	3.165688085207091e-18	105	+
cg04245131	('CG_of_ESR1_regulated',)	3.165688085207091e-18	106	+
cg05685023	('CG_of_ESR1_regulated',)	3.165688085207091e-18	107	+
cg01441777	('CG_of_ESR1_regulated',)	3.165688085207091e-18	108	+
cg07313319	('CG_of_ESR1_regulated',)	3.165688085207091e-18	109	+
cg06991495	('CG_of_ESR1_regulated',)	3.165688085207091e-18	110	+
cg15059162	('CG_of_ESR1_regulated',)	3.165688085207091e-18	111	+
cg16989719	('CG_of_ESR1_regulated',)	3.1649886878715475e-18	112	+
cg14510301	('CG_of_ESR1_regulated',)	3.1649886878715475e-18	113	+
cg09199933	('CG_of_ESR1_regulated',)	3.0620491263198356e-18	114	+
cg25746746	('CG_of_ESR1_regulated',)	3.0620491263198356e-18	115	+
cg08643007	('CG_of_ESR1_regulated',)	3.018993259128765e-18	116	+
cg02505827	('CG_of_ESR1_regulated',)	2.524362326042012e-18	117	+
cg21105319	('CG_of_ESR1_regulated',)	2.524362326042012e-18	118	+
cg25460935	('CG_of_ESR1_regulated',)	2.2739666014259402e-18	119	+
cg22300819	('CG_of_ESR1_regulated',)	2.2547419346586558e-18	120	+
cg25627913	('CG_of_ESR1_regulated',)	2.2379730536649036e-18	121	+
cg03685774	('CG_of_ESR1_regulated',)	1.5811387912875185e-18	122	+
cg06607519	('CG_of_ESR1_regulated',)	1.5811387912875185e-18	123	+
cg12445461	('CG_of_ESR1_regulated',)	1.175072908906397e-18	124	+
cg08407014	('CG_of_ESR1_regulated',)	1.1320170417153267e-18	125	+
cg11809702	('CG_of_ESR1_regulated',)	1.009186824164307e-18	126	+
cg18792584	('CG_of_ESR1_regulated',)	1.009186824164307e-18	127	+
cg26550787	('CG_of_ESR1_regulated',)	1.009186824164307e-18	128	+
cg06869505	('CG_of_ESR1_regulated',)	9.38723160427339e-19	129	+
cg07897871	('CG_of_ESR1_regulated',)	9.353703413629468e-19	130	+
cg02076020	('CG_of_ESR1_regulated',)	9.353703413629468e-19	131	+
cg04844534	('CG_of_ESR1_regulated',)	9.353703413629468e-19	132	+
cg26221280	('CG_of_ESR1_regulated',)	9.353703413629468e-19	133	+
cg12620111	('CG_of_ESR1_regulated',)	6.457684499245722e-19	134	+
cg00847221	('CG_of_ESR1_regulated',)	6.444083606318932e-19	135	+
cg04121771	('CG_of_ESR1_regulated',)	6.438180215315696e-19	136	+
cg02505676	('CG_of_ESR1_regulated',)	6.438180215315696e-19	137	+
cg00914963	('CG_of_ESR1_regulated',)	6.424156308601802e-19	138	+
cg01564818	('CG_of_ESR1_regulated',)	4.10301776813013e-19	139	+
cg06489037	('CG_of_ESR1_regulated',)	4.10301776813013e-19	140	+
cg04977602	('CG_of_ESR1_regulated',)	4.10301776813013e-19	141	+
cg03676485	('CG_of_ESR1_regulated',)	4.10301776813013e-19	142	+
cg04902811	('CG_of_ESR1_regulated',)	4.10301776813013e-19	143	+
cg06748147	('CG_of_ESR1_regulated',)	4.10301776813013e-19	144	+
cg07298473	('CG_of_ESR1_regulated',)	4.096023794774697e-19	145	+
cg12568776	('CG_of_ESR1_regulated',)	4.096023794774697e-19	146	+
cg17772490	('CG_of_ESR1_regulated',)	4.096023794774697e-19	147	+
cg20900312	('CG_of_ESR1_regulated',)	4.096023794774697e-19	148	+
cg26449836	('CG_of_ESR1_regulated',)	3.759904398115381e-19	149	+
cg16795466	('CG_of_ESR1_regulator',)	2.2110429927041183e-19	150	+
cg18166347	('CG_of_ESR1_regulated',)	2.2110429927041183e-19	151	+
cg10797387	('CG_of_ESR1_regulated',)	2.140419798403785e-19	152	+
cg15235937	('CG_of_ESR1_regulated',)	1.851107515093749e-19	153	+
cg15391651	('CG_of_ESR1_regulated',)	1.7294840417212362e-19	154	+
cg12738864	('CG_of_ESR1_regulated',)	1.6588608474209024e-19	155	+
cg08592146	('CG_of_ESR1_regulated',)	1.6588608474209024e-19	156	+
cg23278066	('CG_of_ESR1_regulated',)	1.6588608474209024e-19	157	+
cg09651315	('CG_of_ESR1_regulated',)	5.521821452832157e-20	158	+
cg12265878	('CG_of_ESR1_regulated',)	5.521821452832157e-20	159	+
cg09791812	('CG_of_ESR1_regulated',)	5.521821452832157e-20	160	+
cg16758041	('CG_of_ESR1_regulated',)	5.521821452832157e-20	161	+
cg16260343	('CG_of_ESR1_regulated',)	5.521821452832157e-20	162	+
cg10902825	('CG_of_ESR1_regulated',)	5.521821452832157e-20	163	+
cg21944557	('CG_of_ESR1_regulated',)	5.521821452832157e-20	164	+
cg20443138	('CG_of_ESR1_regulated',)	5.521821452832157e-20	165	+
cg25512266	('CG_of_ESR1_regulated',)	5.521821452832157e-20	166	+
cg24845324	('CG_of_ESR1_regulated',)	5.521821452832157e-20	167	+
cg23725567	('CG_of_ESR1_regulated',)	5.521821452832157e-20	168	+
cg05352688	('CG_of_ESR1_regulated',)	4.641615205861785e-20	169	+
cg03547355	('CG_of_ESR1_regulated',)	4.641615205861785e-20	170	+
cg04571130	('CG_of_ESR1_regulated',)	4.641615205861785e-20	171	+
cg06784824	('CG_of_ESR1_regulated',)	4.641615205861785e-20	172	+
cg02546477	('CG_of_ESR1_regulated',)	4.641615205861785e-20	173	+
cg03998264	('CG_of_ESR1_regulated',)	4.641615205861785e-20	174	+
cg06422039	('CG_of_ESR1_regulated',)	4.641615205861785e-20	175	+
cg03839161	('CG_of_ESR1_regulated',)	4.641615205861785e-20	176	+
cg00610310	('CG_of_ESR1_regulated',)	4.641615205861785e-20	177	+
cg02258482	('CG_of_ESR1_regulated',)	4.641615205861785e-20	178	+
cg04813834	('CG_of_ESR1_regulated',)	4.641615205861785e-20	179	+
cg08320303	('CG_of_ESR1_regulated',)	4.641615205861785e-20	180	+
cg07787614	('CG_of_ESR1_regulated',)	4.641615205861785e-20	181	+
cg06561886	('CG_of_ESR1_regulated',)	4.641615205861785e-20	182	+
cg15840039	('CG_of_ESR1_regulator',)	4.641615205861785e-20	183	+
cg24590633	('CG_of_ESR1_regulated',)	4.641615205861785e-20	184	+
cg23655651	('CG_of_ESR1_regulated',)	4.641615205861785e-20	185	+
cg24621042	('CG_of_ESR1_regulated',)	4.641615205861785e-20	186	+
cg01471372	('CG_of_ESR1_regulated',)	4.571675472307455e-20	187	+
cg03852570	('CG_of_ESR1_regulated',)	4.571675472307455e-20	188	+
cg04259907	('CG_of_ESR1_regulated',)	4.571675472307455e-20	189	+
cg12426141	('CG_of_ESR1_regulated',)	4.571675472307455e-20	190	+
cg21183846	('CG_of_ESR1_regulated',)	4.571675472307455e-20	191	+
cg20173428	('CG_of_ESR1_regulated',)	4.501376138722844e-20	192	+
cg13796936	('CG_of_ESR1_regulated',)	4.305586719107028e-20	193	+
cg10696199	('CG_of_ESR1_regulated',)	4.305586719107028e-20	194	+
cg09256448	('CG_of_ESR1_regulated',)	4.305586719107028e-20	195	+
cg20548111	('CG_of_ESR1_regulated',)	4.305586719107028e-20	196	+
cg21763021	('CG_of_ESR1_regulated',)	4.305586719107028e-20	197	+
cg16510654	('CG_of_ESR1_regulated',)	1.922466676728463e-20	198	+
cg16516270	('CG_of_ESR1_regulated',)	1.922466676728463e-20	199	+
cg09859794	('CG_of_ESR1_regulated',)	1.922466676728463e-20	200	+
cg14282656	('CG_of_ESR1_regulated',)	1.922466676728463e-20	201	+
cg09113560	('CG_of_ESR1_regulated',)	1.922466676728463e-20	202	+
cg09503196	('CG_of_ESR1_regulated',)	1.922466676728463e-20	203	+
cg24317002	('CG_of_ESR1_regulated',)	1.922466676728463e-20	204	+
cg26833538	('CG_of_ESR1_regulated',)	1.922466676728463e-20	205	+
cg25110043	('CG_of_ESR1_regulated',)	1.922466676728463e-20	206	+
cg25653011	('CG_of_ESR1_regulated',)	1.922466676728463e-20	207	+
cg26551326	('CG_of_ESR1_regulated',)	1.922466676728463e-20	208	+
cg20780302	('CG_of_ESR1_regulated',)	1.922466676728463e-20	209	+
cg18390816	('CG_of_ESR1_regulated',)	1.2162347337251299e-20	210	+
cg20201475	('CG_of_ESR1_regulated',)	1.2162347337251299e-20	211	+
cg23449780	('CG_of_ESR1_regulated',)	1.2162347337251299e-20	212	+
cg26492318	('CG_of_ESR1_regulated',)	1.2162347337251299e-20	213	+
cg06942111	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	214	+
cg02086349	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	215	+
cg06182359	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	216	+
cg04231677	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	217	+
cg05699921	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	218	+
cg05721773	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	219	+
cg05981785	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	220	+
cg00610692	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	221	+
cg01157280	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	222	+
cg05877402	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	223	+
cg07630327	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	224	+
cg07243147	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	225	+
cg05697249	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	226	+
cg07327299	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	227	+
cg02818170	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	228	+
cg07643267	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	229	+
cg01035931	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	230	+
cg09152259	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	231	+
cg13556253	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	232	+
cg24041799	('CG_of_ESR1_regulated',)	1.2104815057142938e-20	233	+
cg02458141	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	234	+
cg02592133	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	235	+
cg03331514	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	236	+
cg06340364	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	237	+
cg02171771	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	238	+
cg02126477	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	239	+
cg03544499	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	240	+
cg01754756	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	241	+
cg04959790	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	242	+
cg02331303	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	243	+
cg02914652	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	244	+
cg00066663	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	245	+
cg03264464	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	246	+
cg05341260	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	247	+
cg00735611	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	248	+
cg06376161	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	249	+
cg00952322	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	250	+
cg10040836	('CG_of_ESR1_regulator',)	1.1405417721599623e-20	251	+
cg13068082	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	252	+
cg17656267	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	253	+
cg15483044	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	254	+
cg10444350	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	255	+
cg08408874	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	256	+
cg23467008	('CG_of_ESR1_regulator', 'CG_of_ESR1_regulated')	1.1405417721599623e-20	257	+
cg23731901	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	258	+
cg23449588	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	259	+
cg26549552	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	260	+
cg23212388	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	261	+
cg24751886	('CG_of_ESR1_regulated',)	1.1405417721599623e-20	262	+
cg21976880	('CG_of_ESR1_regulated',)	1.1360467123089448e-20	263	+
cg05883167	('CG_of_ESR1_regulated',)	1.0702424385753536e-20	264	+
cg10387807	('CG_of_ESR1_regulated',)	1.0702424385753536e-20	265	+
cg21038780	('CG_of_ESR1_regulated',)	1.0702424385753536e-20	266	+
cg20293894	('CG_of_ESR1_regulated',)	1.0702424385753536e-20	267	+
cg24480577	('CG_of_ESR1_regulated',)	9.473003718390118e-21	268	+
cg00872683	('CG_of_ESR1_regulated',)	9.400300165978571e-21	269	+
cg01306688	('CG_of_ESR1_regulated',)	9.400300165978571e-21	270	+
cg06233202	('CG_of_ESR1_regulated',)	8.700902830435258e-21	271	+
cg05724065	('CG_of_ESR1_regulated',)	8.700902830435258e-21	272	+
cg07127888	('CG_of_ESR1_regulated',)	8.700902830435258e-21	273	+
cg02627216	('CG_of_ESR1_regulated',)	8.700902830435258e-21	274	+
cg13393754	('CG_of_ESR1_regulator',)	8.700902830435258e-21	275	+
cg14795708	('CG_of_ESR1_regulated',)	8.700902830435258e-21	276	+
cg12624805	('CG_of_ESR1_regulated',)	8.700902830435258e-21	277	+
cg19992672	('CG_of_ESR1_regulated',)	8.700902830435258e-21	278	+
cg00777271	('CG_of_ESR1_regulated',)	8.007648058697303e-21	279	+
cg07175301	('CG_of_ESR1_regulated',)	8.007648058697303e-21	280	+
cg00119073	('CG_of_ESR1_regulated',)	8.007648058697303e-21	281	+
cg07807026	('CG_of_ESR1_regulated',)	8.007648058697303e-21	282	+
cg03608224	('CG_of_ESR1_regulated',)	8.007648058697303e-21	283	+
cg02621481	('CG_of_ESR1_regulated',)	8.007648058697303e-21	284	+
cg04158862	('CG_of_ESR1_regulated',)	8.007648058697303e-21	285	+
cg04168474	('CG_of_ESR1_regulated',)	8.007648058697303e-21	286	+
cg06377256	('CG_of_ESR1_regulated',)	8.007648058697303e-21	287	+
cg01264729	('CG_of_ESR1_regulated',)	8.007648058697303e-21	288	+
cg02479497	('CG_of_ESR1_regulated',)	8.007648058697303e-21	289	+
cg04498014	('CG_of_ESR1_regulated',)	8.007648058697303e-21	290	+
cg04178634	('CG_of_ESR1_regulated',)	8.007648058697303e-21	291	+
cg08536167	('CG_of_ESR1_regulated',)	8.007648058697303e-21	292	+
cg12737152	('CG_of_ESR1_regulated',)	8.007648058697303e-21	293	+
cg16787365	('CG_of_ESR1_regulated',)	8.007648058697303e-21	294	+
cg16751781	('CG_of_ESR1_regulated',)	8.007648058697303e-21	295	+
cg21210531	('CG_of_ESR1_regulated',)	8.007648058697303e-21	296	+
cg25711079	('CG_of_ESR1_regulated',)	8.007648058697303e-21	297	+
cg24704593	('CG_of_ESR1_regulated',)	8.007648058697303e-21	298	+
cg19432393	('CG_of_ESR1_regulated',)	8.007648058697303e-21	299	+
cg17826679	('CG_of_ESR1_regulated',)	8.007648058697303e-21	300	+
cg06121450	('CG_of_ESR1_regulated',)	7.997909494589169e-21	301	+
cg01870865	('CG_of_ESR1_regulated',)	7.997909494589169e-21	302	+
cg01059609	('CG_of_ESR1_regulated',)	7.997909494589169e-21	303	+
cg16555184	('CG_of_ESR1_regulated',)	7.997909494589169e-21	304	+
cg10884975	('CG_of_ESR1_regulated',)	7.997909494589169e-21	305	+
cg24349919	('CG_of_ESR1_regulator',)	7.997909494589169e-21	306	+
cg23731089	('CG_of_ESR1_regulated',)	7.997909494589169e-21	307	+
cg07959747	('CG_of_ESR1_regulated',)	7.554181899294315e-21	308	+
cg07438401	('CG_of_ESR1_regulated',)	7.371080575003609e-21	309	+
cg01081737	('CG_of_ESR1_regulated',)	7.371080575003609e-21	310	+
cg06441106	('CG_of_ESR1_regulated',)	7.308250723153985e-21	311	+
cg01267709	('CG_of_ESR1_regulated',)	7.308250723153985e-21	312	+
cg05505961	('CG_of_ESR1_regulated',)	7.308250723153985e-21	313	+
cg01597604	('CG_of_ESR1_regulated',)	7.308250723153985e-21	314	+
cg10235056	('CG_of_ESR1_regulated',)	7.308250723153985e-21	315	+
cg23543604	('CG_of_ESR1_regulated',)	7.308250723153985e-21	316	+
cg04692506	('CG_of_ESR1_regulator',)	7.085149757883101e-21	317	+
cg06428196	('CG_of_ESR1_regulated',)	7.085149757883101e-21	318	+
cg02464901	('CG_of_ESR1_regulated',)	7.085149757883101e-21	319	+
cg05499499	('CG_of_ESR1_regulated',)	7.085149757883101e-21	320	+
cg04280772	('CG_of_ESR1_regulated',)	7.085149757883101e-21	321	+
cg03190578	('CG_of_ESR1_regulated',)	7.085149757883101e-21	322	+
cg07139503	('CG_of_ESR1_regulated',)	7.085149757883101e-21	323	+
cg02212575	('CG_of_ESR1_regulated',)	7.085149757883101e-21	324	+
cg06550986	('CG_of_ESR1_regulated',)	7.085149757883101e-21	325	+
cg04547002	('CG_of_ESR1_regulated',)	7.085149757883101e-21	326	+
cg05876824	('CG_of_ESR1_regulated',)	7.085149757883101e-21	327	+
cg05089968	('CG_of_ESR1_regulated',)	7.085149757883101e-21	328	+
cg02389084	('CG_of_ESR1_regulated',)	7.085149757883101e-21	329	+
cg06458904	('CG_of_ESR1_regulated',)	7.085149757883101e-21	330	+
cg06743037	('CG_of_ESR1_regulated',)	7.085149757883101e-21	331	+
cg03995434	('CG_of_ESR1_regulated',)	7.085149757883101e-21	332	+
cg00025347	('CG_of_ESR1_regulated',)	7.085149757883101e-21	333	+
cg03635073	('CG_of_ESR1_regulated',)	7.085149757883101e-21	334	+
cg01882535	('CG_of_ESR1_regulated',)	7.085149757883101e-21	335	+
cg05327192	('CG_of_ESR1_regulated',)	7.085149757883101e-21	336	+
cg00067884	('CG_of_ESR1_regulated',)	7.085149757883101e-21	337	+
cg02711212	('CG_of_ESR1_regulated',)	7.085149757883101e-21	338	+
cg07840332	('CG_of_ESR1_regulated',)	7.085149757883101e-21	339	+
cg04270264	('CG_of_ESR1_regulated',)	7.085149757883101e-21	340	+
cg06099014	('CG_of_ESR1_regulated',)	7.085149757883101e-21	341	+
cg02643667	('CG_of_ESR1_regulated',)	7.085149757883101e-21	342	+
cg12301620	('CG_of_ESR1_regulated',)	7.085149757883101e-21	343	+
cg09209002	('CG_of_ESR1_regulated',)	7.085149757883101e-21	344	+
cg08858370	('CG_of_ESR1_regulated',)	7.085149757883101e-21	345	+
cg09644451	('CG_of_ESR1_regulated',)	7.085149757883101e-21	346	+
cg12451007	('CG_of_ESR1_regulated',)	7.085149757883101e-21	347	+
cg08836861	('CG_of_ESR1_regulated',)	7.085149757883101e-21	348	+
cg23705119	('CG_of_ESR1_regulator', 'CG_of_ESR1_regulated')	7.085149757883101e-21	349	+
cg18623708	('CG_of_ESR1_regulated',)	7.085149757883101e-21	350	+
cg20109393	('CG_of_ESR1_regulated',)	7.085149757883101e-21	351	+
cg22877623	('CG_of_ESR1_regulated',)	7.085149757883101e-21	352	+
cg24339704	('CG_of_ESR1_regulated',)	7.085149757883101e-21	353	+
cg21772838	('CG_of_ESR1_regulated',)	7.085149757883101e-21	354	+
cg13256513	('CG_of_ESR1_regulated',)	7.062319430033339e-21	355	+
cg14703058	('CG_of_ESR1_regulated',)	7.062319430033339e-21	356	+
cg12232110	('CG_of_ESR1_regulated',)	7.062319430033339e-21	357	+
cg09548950	('CG_of_ESR1_regulated',)	7.062319430033339e-21	358	+
cg26119331	('CG_of_ESR1_regulated',)	7.062319430033339e-21	359	+
cg24645247	('CG_of_ESR1_regulated',)	7.062319430033339e-21	360	+
cg18347650	('CG_of_ESR1_regulated',)	7.062319430033339e-21	361	+
cg24775832	('CG_of_ESR1_regulated',)	7.062319430033339e-21	362	+
cg19228181	('CG_of_ESR1_regulated',)	7.062319430033339e-21	363	+
