RNA	Complexity Score	Complexity Rank	Sign
FLRT2	('RNA_ESR1_regulated',)	1.1653001354657737e-06	13	-
LONRF2	('RNA_ESR1_regulated',)	1.0700919101690859e-09	14	-
DNAAF3	('RNA_ESR1_regulated',)	2.2369591327444488e-10	15	-
NKAIN1	('RNA_ESR1_regulated',)	2.0512226845511116e-10	16	-
SCUBE2	('RNA_ESR1_regulated',)	4.320705450084371e-11	17	-
CACNA1D	('RNA_ESR1_regulated',)	3.189695652590708e-11	18	-
GREB1	('RNA_ESR1_regulated',)	3.189695652590708e-11	19	-
SEMA3B	('RNA_ESR1_regulated',)	3.189695652590708e-11	20	-
B3GALT1	('RNA_ESR1_regulated',)	1.4634996310595535e-11	21	-
SRARP	('RNA_ESR1_regulated',)	4.0971729145983064e-14	22	-
PTH1R	('RNA_ESR1_regulated',)	3.5067434771606375e-14	23	-
SVEP1	('RNA_ESR1_regulated',)	3.5004868211048e-14	24	-
TLCD3B	('RNA_ESR1_regulated',)	1.881268650730914e-14	25	-
CIB3	('RNA_ESR1_regulated',)	6.560750093250751e-15	26	-
JPH2	('RNA_ESR1_regulated',)	4.721880524799116e-15	27	-
C9orf152	('RNA_ESR1_regulated',)	2.073572323662283e-16	28	-
NCMAP	('RNA_ESR1_regulated',)	6.813044791150894e-17	29	-
PARD6B	('RNA_ESR1_regulated',)	5.464495045740368e-17	30	-
DACH1	('RNA_ESR1_regulated',)	3.285590551247202e-17	31	-
ARRDC5	('RNA_ESR1_regulated',)	2.8963439216048524e-17	32	-
TFF1	('RNA_ESR1_regulated',)	2.8091982113733085e-17	33	-
CXCL9	('RNA_ESR1_regulated',)	1.8981842821075575e-17	34	-
GZMM	('RNA_ESR1_regulated',)	1.453212165416922e-17	35	-
KCNK15	('RNA_ESR1_regulated',)	1.1280555762419077e-17	36	-
BCAS1	('RNA_ESR1_regulated',)	7.777753948999772e-18	37	-
CCR7	('RNA_ESR1_regulated',)	6.855090223699563e-18	38	-
BBOX1	('RNA_ESR1_regulated',)	4.703434482959613e-18	39	-
TSPAN1	('RNA_ESR1_regulated',)	2.914943634906294e-18	40	-
ICOS	('RNA_ESR1_regulated',)	1.8978952463470233e-18	41	-
TAFA3	('RNA_ESR1_regulated',)	1.1088778178840932e-18	42	-
AR	('RNA_ESR1_regulator',)	6.469719886743749e-19	43	-
ZG16B	('RNA_ESR1_regulated',)	5.378075474375692e-19	44	-
DYNLRB2	('RNA_ESR1_regulated',)	3.444520445655912e-19	45	-
RAB26	('RNA_ESR1_regulated',)	1.8457117287554016e-19	46	-
TFF3	('RNA_ESR1_regulated',)	1.609945986949965e-19	47	-
SIT1	('RNA_ESR1_regulated',)	1.2246495579371752e-19	48	-
LMX1B	('RNA_ESR1_regulated',)	1.1627692106035995e-19	49	-
MYB	('RNA_ESR1_regulated',)	6.747131675643303e-20	50	-
CT62	('RNA_ESR1_regulated',)	3.55990532317655e-20	51	-
IRF4	('RNA_ESR1_regulator',)	2.90119581457801e-20	52	-
THSD4	('RNA_ESR1_regulated',)	2.1612628763820555e-20	53	-
BANK1	('RNA_ESR1_regulated',)	1.1806568436752707e-20	54	-
FSIP1	('RNA_ESR1_regulated',)	1.0418847522918076e-20	55	-
POU5F1	('RNA_ESR1_regulated',)	7.414069157824746e-21	56	-
AGR3	('RNA_ESR1_regulated',)	7.355207056617667e-21	57	-
CA12	('RNA_ESR1_regulated',)	4.85018900674869e-21	58	-
C5AR2	('RNA_ESR1_regulated',)	2.1096056302995902e-21	59	-
TTC6	('RNA_ESR1_regulated',)	1.8029336084998784e-21	60	-
ESR1	('RNA_ESR1',)	8.061064628991208e-22	61	-
ID4	('RNA_ESR1_regulated',)	2.547786963645334e-22	62	-
FOXA1	('RNA_ESR1_regulated',)	1.847096004383506e-22	63	-
MLPH	('RNA_ESR1_regulated',)	1.6906976240625305e-22	64	-
PRR15	('RNA_ESR1_regulated',)	8.710900331701083e-23	65	-
MID1	('RNA_ESR1_regulated',)	5.949971274002233e-23	66	-
