ID	gene name	aliases	pubmed count
86	ACTL6A	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K|SMARCN1	225
87	ACTN1	BDPLT15	308
88	ACTN2	CMD1AA|CMH23|CMYP8|MPD6|MYOCOZ	150
89	ACTN3	ACTN3D	259
90	ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	180
91	ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	108
92	ACVR2A	ACTRII|ACVR2	127
93	ACVR2B	ACTRIIB|ActR-IIB|HTX4	90
94	ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	189
95	ACY1	ACY-1|ACY1D|HEL-S-5	66
97	ACYP1	ACYPE	22
98	ACYP2	ACYM|ACYP	54
100	ADA	ADA1	0
101	ADAM8	CD156|CD156a|MS2	70
102	ADAM10	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	398
103	ADAR	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	456
104	ADARB1	ADAR2|DRABA2|DRADA2|NEDHYMS|RED1	118
105	ADARB2	ADAR3|RED2	40
107	ADCY1	AC1|DFNB44	54
108	ADCY2	AC2|HBAC2	48
109	ADCY3	AC-III|AC3|BMIQ19	72
111	ADCY5	AC5|DSKOD|FDFM	81
112	ADCY6	AC6|LCCS8	73
113	ADCY7	AC7	47
114	ADCY8	AC8|ADCY3|HBAC1	51
115	ADCY9	AC9|ACIX	72
116	ADCYAP1	PACAP	154
117	ADCYAP1R1	PAC1|PAC1R|PACAPR|PACAPRI	95
118	ADD1	ADDA	272
119	ADD2	ADDB	79
120	ADD3	ADDL|CPSQ3	0
123	PLIN2	ADFP|ADRP	131
124	ADH1A	ADH1	0
125	ADH1B	ADH2|HEL-S-117	410
126	ADH1C	ADH3	233
127	ADH4	ADH-2|HEL-S-4	73
128	ADH5	ADH-3|ADHX|AMEDS|BMFS7|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p	94
130	ADH6	ADH-5	29
131	ADH7	ADH4	64
132	ADK	AK	54
133	ADM	AM|PAMP	392
134	ADORA1	RDC7	144
135	ADORA2A	A2aR|ADORA2|RDC8	399
136	ADORA2B	ADORA2	139
140	ADORA3	A3AR	112
141	ADPRH	ARH1|hARH1	16
142	PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PARS|PPOL|Poly-PARP|pADPRT-1	1448
143	PARP4	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	73
146	ADRA1D	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	64
147	ADRA1B	ADRA1|ALPHA1BAR	85
148	ADRA1A	ADRA1C|ADRA1L1|ALPHA1AAR	140
150	ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	236
151	ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR	132
152	ADRA2C	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	101
153	ADRB1	ADRB1R|B1AR|BETA1AR|FNSS2|RHR	386
154	ADRB2	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	1111
155	ADRB3	BETA3AR	373
156	GRK2	ADRBK1|BARK1|BETA-ARK1	268
157	GRK3	ADRBK2|BARK2	62
158	ADSL	AMPS|ASASE|ASL	97
159	ADSS2	ADEH|ADSS|ADSS 2	48
160	AP2A1	ADTAA|AP2-ALPHA|CLAPA1	229
161	AP2A2	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	180
162	AP1B1	ADTB1|AP105A|BAM22|CLAPB2|KIDAR	140
163	AP2B1	ADTB2|AP105B|AP2-BETA|CLAPB1	214
164	AP1G1	ADTG|CLAPG1|USRISD	143
165	AEBP1	ACLP	50
166	TLE5	AES|AES-1|AES-2|ESP1|GRG|GRG5|Grg-5	78
167	CRISP1	AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP	16
173	AFM	ALB2|ALBA|ALF	48
174	AFP	AFPD|FETA|HPAFP	379
175	AGA	AGU|ASRG|GA	65
176	ACAN	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD	175
177	AGER	RAGE|SCARJ1|sRAGE	1004
178	AGL	GDE	97
181	AGRP	AGRT|ART|ASIP2	70
182	JAG1	AGS|AGS1|AHD|AWS|CD339|CMT2HH|DCHE|HJ1|JAGL1	339
183	AGT	ANHU|SERPINA8|hFLT1	1136
185	AGTR1	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|ATR1|HAT1R	977
186	AGTR2	AT2|ATGR2|MRX88	245
187	APLNR	AGTRL1|APJ|APJR|HG11	137
189	AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|Ser-PyrAT|TLH6	119
190	NR0B1	AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2	162
191	AHCY	SAHH|adoHcyase	188
196	AHR	RP85|bHLHe76	752
197	AHSG	A2HS|AHS|APMR1|FETUA|HSGA	370
199	AIF1	AIF-1|IBA1|IRT-1|IRT1	98
202	CRYBG1	AIM1|ST4	38
203	AK1	HTL-S-58j	62
204	AK2	ADK2	89
205	AK4	AK 4|AK3|AK3L1|AK3L2	57
207	AKT1	AKT|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	3603
208	AKT2	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	379
210	ALAD	ALADH|PBGS	147
211	ALAS1	ALAS|ALAS-H|ALAS3|ALASH|MIG4	75
212	ALAS2	ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA	73
213	ALB	FDAHT|HSA|PRO0883|PRO0903|PRO1341	721
214	ALCAM	CD166|MEMD	198
215	ABCD1	ABC42|ALD|ALDP|AMN	165
216	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	383
217	ALDH2	ALDH-E2|ALDHI|ALDM	792
218	ALDH3A1	ALDH3|ALDHIII	79
219	ALDH1B1	ALDH5|ALDHX	112
220	ALDH1A3	ALDH1A6|ALDH6|MCOP8|RALDH3	91
221	ALDH3B1	ALDH4|ALDH7	37
222	ALDH3B2	ALDH8	20
223	ALDH9A1	ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH	61
224	ALDH3A2	ALDH10|FALDH|SLS	150
225	ABCD2	ABC39|ALDL1|ALDR|ALDRP|hALDR	33
226	ALDOA	ALDA|GSD12|HEL-S-87p	270
229	ALDOB	ALDB|ALDO2	73
230	ALDOC	ALDC	98
231	AKR1B1	ADR|ALDR1|ALR2|AR	220
238	ALK	ALK1|CD246|NBLST3	813
239	ALOX12	12-LOX|12S-LOX|LOG12	168
240	ALOX5	5-LO|5-LOX|5LPG|LOG5	330
241	ALOX5AP	FLAP	154
242	ALOX12B	12R-LOX|ARCI2	53
246	ALOX15	12-LOX|15-LOX|15-LOX-1|LOG15	221
247	ALOX15B	15-LOX-2	62
248	ALPI	IAP	70
249	ALPL	AP-TNAP|APTNAP|HOPS|HPPA|HPPC|HPPI|HPPO|TNALP|TNAP|TNS-ALP|TNSALP	293
250	ALPP	ALP|ALPI|IAP|PALP|PLAP|PLAP-1	108
251	ALPG	ALPPL|ALPPL2|GCAP	48
257	ALX3	FND|FND1	20
258	AMBN	AI1F	35
259	AMBP	A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI	130
262	AMD1	ADOMETDC|AMD|SAMDC	62
265	AMELX	AI1E|AIH1|ALGN|AMG|AMGL|AMGX	63
266	AMELY	AMGL|AMGY	18
267	AMFR	GP78|RNF45	170
268	AMH	MIF|MIS	407
269	AMHR2	AMHR|MISR2|MISRII|MRII	87
270	AMPD1	MAD|MADA|MMDD	100
271	AMPD2	PCH9|SPG63	58
272	AMPD3	-	33
273	AMPH	AMPH1	84
274	BIN1	AMPH2|AMPHL|CNM2|SH3P9	0
275	AMT	GCE|GCST|GCVT|NKH	39
276	AMY1A	AMY1	107
277	AMY1B	AMY1	28
278	AMY1C	AMY1	31
279	AMY2A	AMY2|PA	57
280	AMY2B	AMY2|AMY3|HXA	35
283	ANG	ALS9|HEL168|RAA1|RNASE4|RNASE5	223
284	ANGPT1	AGP1|AGPT|AGPT-1|ANG1|HAE5	329
285	ANGPT2	AGPT2|ANG2|LMPHM10	511
286	ANK1	ANK|SPH1|SPH2|ankyrin-1	120
287	ANK2	ANK-2|CFAP87|FAP87|LQT4|brank-2	122
288	ANK3	ANKYRIN-G|MRT37	155
290	ANPEP	AP-M|AP-N|APN|CD13|GP150|LAP1|P150|PEPN|hAPN	172
291	SLC25A4	AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1	189
292	SLC25A5	2F1|AAC2|ANT2|T2|T3	277
293	SLC25A6	AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y	212
301	ANXA1	ANX1|LPC1	454
302	ANXA2	ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV	699
306	ANXA3	ANX3	97
307	ANXA4	ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36	115
308	ANXA5	ANX5|CPB-I|ENX2|HEL-S-7|PP4|RPRGL3|VAC-alph	304
309	ANXA6	ANX6|CBP68|CPB-II|p68|p70	164
310	ANXA7	ANX7|SNX|SYNEXIN	111
311	ANXA11	ALS23|ANX11|CAP-50|CAP50|IBMWMA	117
312	ANXA13	ANX13|ISA	27
313	AOAH	-	21
314	AOC2	DAO2|RAO|SSAO	15
316	AOX1	AO|AOH1	0
317	APAF1	APAF-1|CED4	219
318	NUDT2	APAH1|IDDPN	34
319	APOF	Apo-F|LTIP	28
320	APBA1	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	60
321	APBA2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	66
322	APBB1	FE65|MGC:9072|RIR	147
323	APBB2	FE65L|FE65L1	46
324	APC	BTPS2|DESMD|DP2|DP2.5|DP3|GS|PPP1R46	977
325	APCS	HEL-S-92n|PTX2|SAP	109
326	AIRE	AIRE1|APECED|APS1|APSI|PGA1	218
327	APEH	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	70
328	APEX1	APE|APE1|APEN|APEX|APX|HAP1|REF1	704
329	BIRC2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	0
330	BIRC3	AIP1|API2|CIAP2|HAIP1|HIAP1|IAP-1|MALT2|MIHC|RNF49|c-IAP2	295
331	XIAP	API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3	648
332	BIRC5	API4|EPR-1	1336
333	APLP1	APLP	61
334	APLP2	APLP-2|APPH|APPL2|CDEBP	111
335	APOA1	HPALP2|apo(a)	1106
336	APOA2	Apo-AII|ApoA-II|apoAII	187
337	APOA4	-	222
338	APOB	FCHL2|FLDB|LDLCQ4|apoB-100|apoB-48	912
339	APOBEC1	APO1|APOBEC-1|BEDP|CDAR1|HEPR	55
341	APOC1	Apo-CI|ApoC-I|apo-CIB|apoC-IB	209
343	AQP8	AQP-8	82
344	APOC2	APO-CII|APOC-II	142
345	APOC3	APOCIII|Apo-C3|ApoC-3	455
346	APOC4	APO-CIV|APOC-IV	38
347	APOD	-	134
348	APOE	AD2|APO-E|ApoE4|LDLCQ5|LPG	5022
350	APOH	B2G1|B2GP1|BG	253
351	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|alpha-sAPP|preA4	2994
353	APRT	AMP|APRTD	109
354	KLK3	APS|KLK2A1|PSA|hK3	470
355	FAS	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	1236
356	FASLG	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A	698
357	SHROOM2	APXL|HSAPXL	29
358	AQP1	AQP-CHIP|CHIP28|CO	362
359	AQP2	AQP-CD|NDI2|WCH-CD	191
360	AQP3	AQP-3|GIL	222
361	AQP4	MIWC|WCH4|hAQP4	350
362	AQP5	AQP-5|PPKB	182
363	AQP6	AQP2L|KID	12
364	AQP7	AQP7L|AQPap|GLYCQTL	74
366	AQP9	AQP-9|HsT17287|SSC1|T17287	115
367	AR	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	2650
368	ABCC6	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	148
369	ARAF	A-RAF|ARAF1|PKS2|RAFA1	131
372	ARCN1	COPD|SRMMD|SSMG	143
373	TRIM23	ARD1|ARFD1|RNF46	59
374	AREG	AR|AREGB|CRDGF|SDGF	224
375	ARF1	PVNH8	271
377	ARF3	-	99
378	ARF4	ARF2	152
379	ARL4D	ARF4L	24
381	ARF5	-	87
382	ARF6	-	297
383	ARG1	-	248
384	ARG2	-	111
387	RHOA	ARH12|ARHA|EDFAOB|RHO12|RHOH12	1126
388	RHOB	ARH6|ARHB|MST081|MSTP081|RHOH6	175
389	RHOC	ARH9|ARHC|H9|RHOH9	202
390	RND3	ARHE|Rho8|RhoE|memB	91
391	RHOG	ARHG	95
392	ARHGAP1	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP	111
393	ARHGAP4	C1|RGC1|RhoGAP4|SrGAP4|p115	42
394	ARHGAP5	GFI2|RhoGAP5|p190-B|p190BRhoGAP	57
395	ARHGAP6	RHOGAP6|RHOGAPX-1	19
396	ARHGDIA	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	198
397	ARHGDIB	D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2	98
398	ARHGDIG	RHOGDI-3	22
399	RHOH	ARHH|TTF	54
400	ARL1	ARFL1	93
401	PHOX2A	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A	39
402	ARL2	ARFL2|MRCS1	85
403	ARL3	ARFL3|JBTS35|RP83	65
405	ARNT	ARNT1|HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	0
406	BMAL1	ARNTL|ARNTL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	246
407	ARR3	ARRX|MYP26|cArr	50
408	ARRB1	ARB1|ARR1	305
409	ARRB2	ARB2|ARR2|BARR2	379
410	ARSA	ASA|MLD	145
411	ARSB	ASB|G4S|MPS6	0
412	STS	ARSC|ARSC1|ASC|ES|SSDD|XLI	117
414	ARSD	ASD	17
415	ARSL	ARSE|ASE|CDPX|CDPX1|CDPXR	29
416	ARSF	ASF	15
417	ART1	ART2|ARTC1|CD296|RT6	17
419	ART3	ARTC3	26
420	ART4	ARTC4|CD297|DO|DO/ART4|DOK1	29
421	ARVCF	-	57
427	ASAH1	AC|ACDase|ASAH|PHP|PHP32|SMAPME	118
429	ASCL1	ASH1|HASH1|MASH1|bHLHa46	125
430	ASCL2	ASH2|HASH2|MASH2|bHLHa45	46
432	ASGR1	ASGPR|ASGPR1|CLEC4H1|HL-1	76
433	ASGR2	ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2	51
434	ASIP	AGSW|AGTI|AGTIL|ASP|SHEP9	45
435	ASL	ASAL	58
438	ASMT	ASMTY|HIOMT|HIOMTY	36
439	GET3	ARSA-I|ARSA1|ASNA-I|ASNA1|CMD2H|TRC40	83
440	ASNS	ASNSD|TS11	0
443	ASPA	ACY2|ASP	0
444	ASPH	AAH|BAH|CASQ2BP1|FDLAB|HAAH|JCTN|junctin	147
445	ASS1	ASS|CTLN1	164
460	ASTN1	ASTN	17
462	SERPINC1	AT3|AT3D|ATIII|ATIII-R2|ATIII-T1|ATIII-T2|THPH7	287
463	ZFHX3	ATBF1|ATBT|C16orf47|ZFH-3|ZNF927	118
466	ATF1	EWS-ATF1|FUS/ATF-1|TREB36	120
467	ATF3	-	306
468	ATF4	CREB-2|CREB2|TAXREB67|TXREB	357
471	ATIC	AICAR|AICARFT|HEL-S-70p|IMPCHASE|PURH	122
472	ATM	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	1485
473	RERE	ARG|ARP|ATN1L|DNB1|NEDBEH	64
474	ATOH1	ATH1|DFNA89|HATH1|MATH-1|bHLHa14	65
475	ATOX1	ATX1|HAH1	99
476	ATP1A1	CMT2DD|HOMGSMR2	352
477	ATP1A2	DEE98|FARIMPD|FHM2|MHP2	153
478	ATP1A3	AHC2|ATP1A1|CAPOS|DEE99|DYT12|RDP	140
479	ATP12A	ATP1AL1|H-K-ATPase|HK	42
480	ATP1A4	ATP1A1|ATP1AL2	35
481	ATP1B1	ATP1B	150
482	ATP1B2	AMOG	55
483	ATP1B3	ATPB-3|CD298	87
486	FXYD2	ATP1G1|HOMG2	42
487	ATP2A1	ATP2A|SERCA1	92
488	ATP2A2	ATP2B|DAR|DD|SERCA2	380
489	ATP2A3	SERCA3	66
490	ATP2B1	MRD66|PMCA1|PMCA1kb	175
491	ATP2B2	DFNA82|PMCA2|PMCA2a|PMCA2i	72
492	ATP2B3	CFAP39|CLA2|OPCA|PMCA3|PMCA3a|SCAX1	51
493	ATP2B4	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	153
495	ATP4A	ATP6A	39
496	ATP4B	ATP6B	29
498	ATP5F1A	ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	333
501	ALDH7A1	ATQ1|EPD|PDE	112
506	ATP5F1B	ATP5B|ATPMB|ATPSB|HEL-S-271|HUMOP2	311
509	ATP5F1C	ATP5C|ATP5C1|ATP5CL1	173
513	ATP5F1D	ATP5D|MC5DN5	69
514	ATP5F1E	ATP5E|ATPE|MC5DN3	44
515	ATP5PB	ATP5F1|PIG47	110
516	ATP5MC1	ATP5A|ATP5G|ATP5G1	41
517	ATP5MC2	ATP5A|ATP5G2	27
518	ATP5MC3	ATP5G3|DYTSPG|P3	26
521	ATP5ME	ATP5I|ATP5K	60
522	ATP5PF	ATP5|ATP5A|ATP5J|ATPM|CF6|F6	80
523	ATP6V1A	ARCL2D|ATP6A1|ATP6V1A1|DEE93|HO68|IECEE3|VA68|VPP2|Vma1	127
525	ATP6V1B1	ATP6B1|DRTA2|RTA1B|VATB|VMA2|VPP3	87
526	ATP6V1B2	ATP6B1B2|ATP6B2|DOOD|HO57|VATB|VPP3|Vma2|ZLS2	97
527	ATP6V0C	ATP6C|ATP6L|ATPL|VATL|VPPC|Vma3	76
528	ATP6V1C1	ATP6C|ATP6D|VATC|Vma5	58
529	ATP6V1E1	ARCL2C|ATP6E|ATP6E2|ATP6V1E|P31|Vma4	77
533	ATP6V0B	ATP6F|HATPL|VMA16	35
534	ATP6V1G2	ATP6G|ATP6G2|NG38|VMA10	37
535	ATP6V0A1	ATP6N1|ATP6N1A|DEE104|NEDEBA|Stv1|VPP1|Vph1|a1	76
537	ATP6AP1	16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3	99
538	ATP7A	DSMAX|MK|MNK|SMAX3	199
539	ATP5PO	ATP5O|ATPO|HMC08D05|OSCP	153
540	ATP7B	PWD|WC1|WD|WND	372
545	ATR	FCTCS|FRP1|MEC1|SCKL|SCKL1	589
546	ATRX	JMS|MRX52|RAD54|RAD54L|XH2|XNP|ZNF-HX	0
547	KIF1A	ATSV|C2orf20|HSN2C|MRD9|NESCAVS|SPG30|UNC104	106
549	AUH	-	35
550	AUP1	-	104
551	AVP	ADH|ARVP|AVP-NPII|AVRP|VP	319
552	AVPR1A	AVPR V1a|AVPR1|V1aR	108
553	AVPR1B	AVPR3|V1bR|VPR3	49
554	AVPR2	ADHR|DI1|DIR|DIR3|NDI|NDI1|V2R	165
558	AXL	ARK|JTK11|Tyro7|UFO	385
563	AZGP1	ZA2G|ZAG	183
566	AZU1	AZAMP|AZU|CAP37|HBP|HUMAZUR|NAZC|hHBP	81
567	B2M	IMD43	454
570	BAAT	BACAT|BACD1|BAT|HCHO	29
571	BACH1	BACH-1|BTBD24	170
572	BAD	BBC2|BCL2L8	312
573	BAG1	BAG-1|HAP|RAP46	194
574	BAGE	BAGE1|CT2.1	11
575	ADGRB1	BAI1|GDAIF	48
576	ADGRB2	BAI2	25
577	ADGRB3	BAI3	30
578	BAK1	BAK|BAK-LIKE|BCL2L7|CDN1	354
579	NKX3-2	BAPX1|NKX3.2|NKX3B|SMMD	25
580	BARD1	-	290
581	BAX	BCL2L4	1099
582	BBS1	BBS2L2	80
583	BBS2	BBS|RP74	61
585	BBS4	-	66
586	BCAT1	BCATC|BCT1|ECA39|MECA39|PNAS121|PP18	85
587	BCAT2	BCAM|BCATM|BCT2|HVLI|PP18	49
590	BCHE	BCHED|CHE1|CHE2|E1	267
593	BCKDHA	BCKDE1A|MSU|MSUD1|OVD1A	99
594	BCKDHB	BCKDE1B|BCKDH E1-beta|E1B	72
595	CCND1	BCL1|D11S287E|PRAD1|U21B31	1750
596	BCL2	Bcl-2|PPP1R50	2182
597	BCL2A1	ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1	107
598	BCL2L1	BCL-XL/S|BCL2L|BCLX|Bcl-X|PPP1R52	754
599	BCL2L2	BCL-W|BCL2-L-2|BCLW|PPP1R51	121
602	BCL3	BCL4|D19S37	140
604	BCL6	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	424
605	BCL7A	BCL7|SMARCJ1	58
607	BCL9	LGS	81
608	TNFRSF17	BCM|BCMA|CD269|TNFRSF13A	0
610	HCN2	BCNG-2|BCNG2|EIG17|FEB2|GEFSP11|HAC-1	64
611	OPN1SW	BCP|BOP|CBT	30
613	BCR	ALL|BCR1|CML|D22S11|D22S662|PHL	483
617	BCS1L	BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS|h-BCS1	69
618	BCYRN1	BC200|BC200a|LINC00004|NCRNA00004	44
622	BDH1	BDH|SDR9C1	40
623	BDKRB1	B1BKR|B1R|BKB1R|BKR1|BRADYB1	111
624	BDKRB2	B2R|BK-2|BK2|BKR2|BRB2	232
627	BDNF	ANON2|BULN2	2477
629	CFB	AHUS4|ARMD14|BF|BFD|CFAB|CFBD|FB|FBI12|GBG|H2-Bf|PBF2	211
631	BFSP1	CP115|CP94|CTRCT33|LIFL-H	28
632	BGLAP	BGP|OC|OCN	282
633	BGN	DSPG1|MRLS|PG-S1|PGI|SEMDX|SLRR1A	159
634	CEACAM1	BGP|BGP1|BGPI	273
635	BHMT	BHMT1|HEL-S-61p	104
636	BICD1	BICD|bic-D 1	63
637	BID	FP497	259
638	BIK	BIP1|BP4|NBK	96
639	PRDM1	BLIMP1|PRDI-BF1	201
640	BLK	MODY11	116
641	BLM	BS|MGRISCE1|RECQ2|RECQL2|RECQL3	362
642	BLMH	BH|BMH	0
643	CXCR5	BLR1|CD185|MDR15	136
644	BLVRA	BLVR|BVR|BVRA	92
645	BLVRB	BVRB|FLR|HEL-S-10|SDR43U1	49
646	BNC1	BNC|BSN1|HsT19447|POF16	39
648	BMI1	FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1	592
649	BMP1	OI13|PCOLC|PCP|PCP2|TLD	107
650	BMP2	BDA2|BMP2A|SSFSC|SSFSC1	722
651	BMP3	BMP-3A	41
652	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	493
653	BMP5	-	47
654	BMP6	IO|VGR|VGR1	164
655	BMP7	OP-1	295
656	BMP8B	BMP8|OP2	29
657	BMPR1A	10q23del|ACVRLK3|ALK-3|ALK3|BMPR-1A|CD292|SKR5	184
658	BMPR1B	ALK-6|ALK6|AMD3|AMDD|BDA1D|BDA2|CDw293	130
659	BMPR2	BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK	328
660	BMX	ETK|PSCTK2|PSCTK3	82
661	POLR3D	BN51T|C53|RPC4|RPC53|TSBN51	43
662	BNIP1	NIP1|SEC20|TRG-8	46
663	BNIP2	BNIP-2|NIP2	41
664	BNIP3	HABON|NIP3	206
665	BNIP3L	BNIP3a|NIX	88
666	BOK	BCL2L9|BOKL	46
