Name	Class	Type
cg09261593	CG	CG_of_ESR1_regulator
cg13480549	CG	CG_of_ESR1_regulator
cg18188739	CG	CG_of_ESR1_regulator
cg15481172	CG	CG_of_ESR1_regulator
cg08106279	CG	CG_of_ESR1_regulator
cg11796233	CG	CG_of_ESR1_regulator
cg26335530	CG	CG_of_ESR1_regulator
cg00443516	CG	CG_of_ESR1_regulator
cg08106205	CG	CG_of_ESR1_regulator
cg24557048	CG	CG_of_ESR1_regulator
cg06157219	CG	CG_of_ESR1_regulator
cg18269141	CG	CG_of_ESR1_regulator
cg25845463	CG	CG_of_ESR1_regulator
cg04771433	CG	CG_of_ESR1_regulator
cg15550572	CG	CG_of_ESR1_regulator
cg25466090	CG	CG_of_ESR1_regulator
cg05753589	CG	CG_of_ESR1_regulator
cg23844174	CG	CG_of_ESR1_regulator
cg09560161	CG	CG_of_ESR1_regulator
cg16048006	CG	CG_of_ESR1_regulator
cg22366001	CG	CG_of_ESR1_regulator
cg07836663	CG	CG_of_ESR1_regulator
cg20975074	CG	CG_of_ESR1_regulator
cg24776480	CG	CG_of_ESR1_regulator
cg00866690	CG	CG_of_ESR1_regulator
cg24042578	CG	CG_of_ESR1_regulator
cg24577455	CG	CG_of_ESR1_regulator
cg03732007	CG	CG_of_ESR1_regulator
cg00171113	CG	CG_of_ESR1_regulator
cg06888836	CG	CG_of_ESR1_regulator
cg10334053	CG	CG_of_ESR1_regulator
cg21271945	CG	CG_of_ESR1_regulator
cg23682913	CG	CG_of_ESR1_regulator
cg07693617	CG	CG_of_ESR1_regulator
cg26930596	CG	CG_of_ESR1_regulator
cg02481000	CG	CG_of_ESR1_regulator
cg15033013	CG	CG_of_ESR1_regulator
cg17435831	CG	CG_of_ESR1_regulator
cg01974180	CG	CG_of_ESR1_regulator
cg05340048	CG	CG_of_ESR1_regulator
cg24445388	CG	CG_of_ESR1_regulator
cg04347414	CG	CG_of_ESR1_regulator
cg00300046	CG	CG_of_ESR1_regulator
cg07196858	CG	CG_of_ESR1_regulator
cg07382156	CG	CG_of_ESR1_regulator
cg14989962	CG	CG_of_ESR1_regulator
cg24054683	CG	CG_of_ESR1_regulator
cg25726135	CG	CG_of_ESR1_regulator
cg22128985	CG	CG_of_ESR1_regulator
cg19928739	CG	CG_of_ESR1_regulator
cg22942532	CG	CG_of_ESR1_regulator
cg24578937	CG	CG_of_ESR1_regulator
cg02840585	CG	CG_of_ESR1_regulator
cg16813816	CG	CG_of_ESR1_regulator
cg24604214	CG	CG_of_ESR1_regulator
cg10219789	CG	CG_of_ESR1_regulator
cg24937768	CG	CG_of_ESR1_regulator
cg09260853	CG	CG_of_ESR1_regulator
cg12297010	CG	CG_of_ESR1_regulator
cg25060388	CG	CG_of_ESR1_regulator
cg19870743	CG	CG_of_ESR1_regulator
cg09144608	CG	CG_of_ESR1_regulator
cg07093776	CG	CG_of_ESR1_regulator
cg07131604	CG	CG_of_ESR1_regulator
cg07222721	CG	CG_of_ESR1_regulator
cg15575834	CG	CG_of_ESR1_regulator
cg09225489	CG	CG_of_ESR1_regulator
cg16644344	CG	CG_of_ESR1_regulator
cg17156349	CG	CG_of_ESR1_regulator
cg25727019	CG	CG_of_ESR1_regulator
cg10313879	CG	CG_of_ESR1_regulator
cg09891066	CG	CG_of_ESR1_regulator
cg05776004	CG	CG_of_ESR1_regulator
cg06801943	CG	CG_of_ESR1_regulator
cg18025961	CG	CG_of_ESR1_regulator
cg02854763	CG	CG_of_ESR1_regulator
cg26430365	CG	CG_of_ESR1_regulator
cg14778173	CG	CG_of_ESR1_regulator
cg07029226	CG	CG_of_ESR1_regulator
cg05706173	CG	CG_of_ESR1_regulator
cg11961999	CG	CG_of_ESR1_regulator
cg21282837	CG	CG_of_ESR1_regulator
cg19412821	CG	CG_of_ESR1_regulator
cg06646728	CG	CG_of_ESR1_regulator
cg15513868	CG	CG_of_ESR1_regulator
cg18877309	CG	CG_of_ESR1_regulator
cg01514357	CG	CG_of_ESR1_regulator
cg15468976	CG	CG_of_ESR1_regulator
cg27264462	CG	CG_of_ESR1_regulator
cg23648809	CG	CG_of_ESR1_regulator
cg02393699	CG	CG_of_ESR1_regulator
cg13798228	CG	CG_of_ESR1_regulator
cg17025688	CG	CG_of_ESR1_regulator
cg00660626	CG	CG_of_ESR1_regulator
cg07896009	CG	CG_of_ESR1_regulator
cg02334669	CG	CG_of_ESR1_regulator
cg20457594	CG	CG_of_ESR1_regulator
cg00175702	CG	CG_of_ESR1_regulator
cg23048698	CG	CG_of_ESR1_regulator
cg03395993	CG	CG_of_ESR1_regulator
cg01449266	CG	CG_of_ESR1_regulator
cg10769649	CG	CG_of_ESR1_regulator
cg04105350	CG	CG_of_ESR1_regulator
cg27449973	CG	CG_of_ESR1_regulator
cg02066716	CG	CG_of_ESR1_regulator
cg09180820	CG	CG_of_ESR1_regulator
cg01073918	CG	CG_of_ESR1_regulator
cg09579361	CG	CG_of_ESR1_regulator
cg01728055	CG	CG_of_ESR1_regulator
cg01080781	CG	CG_of_ESR1_regulator
cg10057528	CG	CG_of_ESR1_regulator
cg07946633	CG	CG_of_ESR1_regulator
cg10802480	CG	CG_of_ESR1_regulator
cg12140144	CG	CG_of_ESR1_regulator
cg11229543	CG	CG_of_ESR1_regulator
cg07363855	CG	CG_of_ESR1_regulator
cg01908338	CG	CG_of_ESR1_regulator
cg05303132	CG	CG_of_ESR1_regulator
cg04241652	CG	CG_of_ESR1_regulator
cg00945293	CG	CG_of_ESR1_regulator
cg08528984	CG	CG_of_ESR1_regulator
cg19356825	CG	CG_of_ESR1_regulator
cg17173498	CG	CG_of_ESR1_regulator
cg26938364	CG	CG_of_ESR1_regulator
cg04080595	CG	CG_of_ESR1_regulator
cg07348009	CG	CG_of_ESR1_regulator
cg25152368	CG	CG_of_ESR1_regulator
cg08541612	CG	CG_of_ESR1_regulator
cg08537652	CG	CG_of_ESR1_regulator
cg15390554	CG	CG_of_ESR1_regulator
cg13744917	CG	CG_of_ESR1_regulator
cg12267948	CG	CG_of_ESR1_regulator
cg17239558	CG	CG_of_ESR1_regulator
cg07534194	CG	CG_of_ESR1_regulator
cg18381051	CG	CG_of_ESR1_regulator
cg22122862	CG	CG_of_ESR1_regulator
cg18509466	CG	CG_of_ESR1_regulator
cg01431482	CG	CG_of_ESR1_regulator
cg25618424	CG	CG_of_ESR1_regulator
cg26762347	CG	CG_of_ESR1_regulator
cg04852443	CG	CG_of_ESR1_regulator
cg17001566	CG	CG_of_ESR1_regulator
cg22726349	CG	CG_of_ESR1_regulator
cg25008795	CG	CG_of_ESR1_regulator
cg14030836	CG	CG_of_ESR1_regulator
cg16372810	CG	CG_of_ESR1_regulator
cg06348826	CG	CG_of_ESR1_regulator
cg17890044	CG	CG_of_ESR1_regulator
cg12436196	CG	CG_of_ESR1_regulator
cg08262220	CG	CG_of_ESR1_regulator
cg11731671	CG	CG_of_ESR1_regulator
cg25308086	CG	CG_of_ESR1_regulator
cg12297125	CG	CG_of_ESR1_regulator
cg00806481	CG	CG_of_ESR1_regulator
cg22506548	CG	CG_of_ESR1_regulator
cg24490279	CG	CG_of_ESR1_regulator
cg02330501	CG	CG_of_ESR1_regulator
cg10770533	CG	CG_of_ESR1_regulator
cg07922619	CG	CG_of_ESR1_regulator
cg04493316	CG	CG_of_ESR1_regulator
cg04674248	CG	CG_of_ESR1_regulator
cg10572807	CG	CG_of_ESR1_regulator
cg09663655	CG	CG_of_ESR1_regulator
cg07348768	CG	CG_of_ESR1_regulator
cg11837181	CG	CG_of_ESR1_regulator
cg21107944	CG	CG_of_ESR1_regulator
cg25875953	CG	CG_of_ESR1_regulator
cg15505198	CG	CG_of_ESR1_regulator
cg03525023	CG	CG_of_ESR1_regulator
cg13460934	CG	CG_of_ESR1_regulator
cg14852736	CG	CG_of_ESR1_regulator
cg24678113	CG	CG_of_ESR1_regulator
cg09509365	CG	CG_of_ESR1_regulator
cg27564383	CG	CG_of_ESR1_regulator
cg08882612	CG	CG_of_ESR1_regulator
cg23069843	CG	CG_of_ESR1_regulator
cg22226775	CG	CG_of_ESR1_regulator
cg06724693	CG	CG_of_ESR1_regulator
cg21681320	CG	CG_of_ESR1_regulator
cg12599275	CG	CG_of_ESR1_regulator
cg00387551	CG	CG_of_ESR1_regulator
cg10520026	CG	CG_of_ESR1_regulator
cg23086843	CG	CG_of_ESR1_regulator
cg15818632	CG	CG_of_ESR1_regulator
cg27523417	CG	CG_of_ESR1_regulator
cg03935455	CG	CG_of_ESR1_regulator
cg12701603	CG	CG_of_ESR1_regulator
cg05641535	CG	CG_of_ESR1_regulator
cg21604357	CG	CG_of_ESR1_regulator
cg08876274	CG	CG_of_ESR1_regulator
cg07597386	CG	CG_of_ESR1_regulator
cg24529814	CG	CG_of_ESR1_regulator
cg14761019	CG	CG_of_ESR1_regulator
cg06773295	CG	CG_of_ESR1_regulator
cg12905252	CG	CG_of_ESR1_regulator
cg01046951	CG	CG_of_ESR1_regulator
cg10021614	CG	CG_of_ESR1_regulator
cg23987257	CG	CG_of_ESR1_regulator
cg27444751	CG	CG_of_ESR1_regulator
cg26407161	CG	CG_of_ESR1_regulator
cg20632748	CG	CG_of_ESR1_regulator
cg02712922	CG	CG_of_ESR1_regulator
cg03583979	CG	CG_of_ESR1_regulator
cg22615510	CG	CG_of_ESR1_regulator
cg03447135	CG	CG_of_ESR1_regulator
cg06976533	CG	CG_of_ESR1_regulator
cg10097755	CG	CG_of_ESR1_regulator
cg05223638	CG	CG_of_ESR1_regulator
cg12473797	CG	CG_of_ESR1_regulator
cg16348158	CG	CG_of_ESR1_regulator
cg21394778	CG	CG_of_ESR1_regulator
cg07168837	CG	CG_of_ESR1_regulator
cg26653867	CG	CG_of_ESR1_regulator
cg13907655	CG	CG_of_ESR1_regulator
cg22851557	CG	CG_of_ESR1_regulator
cg01772149	CG	CG_of_ESR1_regulator
cg14008571	CG	CG_of_ESR1_regulator
cg24741666	CG	CG_of_ESR1_regulator
cg09271661	CG	CG_of_ESR1_regulator
cg26426080	CG	CG_of_ESR1_regulator
cg22712408	CG	CG_of_ESR1_regulator
cg11684115	CG	CG_of_ESR1_regulator
cg10146008	CG	CG_of_ESR1_regulator
cg23273418	CG	CG_of_ESR1_regulator
cg04132510	CG	CG_of_ESR1_regulator
cg23818827	CG	CG_of_ESR1_regulator
cg21209214	CG	CG_of_ESR1_regulator
cg15135176	CG	CG_of_ESR1_regulator
cg21383687	CG	CG_of_ESR1_regulator
cg18176395	CG	CG_of_ESR1_regulator
cg22949832	CG	CG_of_ESR1_regulator
cg03921839	CG	CG_of_ESR1_regulator
cg12394168	CG	CG_of_ESR1_regulator
cg10124445	CG	CG_of_ESR1_regulator
cg00713435	CG	CG_of_ESR1_regulator
cg20790030	CG	CG_of_ESR1_regulator
cg12641165	CG	CG_of_ESR1_regulator
cg22530255	CG	CG_of_ESR1_regulator
cg14200569	CG	CG_of_ESR1_regulator
cg04134748	CG	CG_of_ESR1_regulator
cg02368820	CG	CG_of_ESR1_regulator
cg15121959	CG	CG_of_ESR1_regulator
cg07367222	CG	CG_of_ESR1_regulator
cg17463432	CG	CG_of_ESR1_regulator
cg13104257	CG	CG_of_ESR1_regulator
cg12804677	CG	CG_of_ESR1_regulator
cg05117823	CG	CG_of_ESR1_regulator
cg17033287	CG	CG_of_ESR1_regulator
cg05035508	CG	CG_of_ESR1_regulator
cg17455155	CG	CG_of_ESR1_regulator
cg06617975	CG	CG_of_ESR1_regulator
cg26545580	CG	CG_of_ESR1_regulator
cg01647724	CG	CG_of_ESR1_regulator
cg24642064	CG	CG_of_ESR1_regulator
cg21299491	CG	CG_of_ESR1_regulator
cg00049709	CG	CG_of_ESR1_regulator
cg19866637	CG	CG_of_ESR1_regulator
cg05343184	CG	CG_of_ESR1_regulator
cg03226435	CG	CG_of_ESR1_regulator
cg19243842	CG	CG_of_ESR1_regulator
cg22510139	CG	CG_of_ESR1_regulator
cg24968931	CG	CG_of_ESR1_regulator
cg14516243	CG	CG_of_ESR1_regulator
cg13388191	CG	CG_of_ESR1_regulator
cg01047045	CG	CG_of_ESR1_regulator
cg09221035	CG	CG_of_ESR1_regulator
cg24300981	CG	CG_of_ESR1_regulator
cg13392571	CG	CG_of_ESR1_regulator
cg25745135	CG	CG_of_ESR1_regulator
cg24045378	CG	CG_of_ESR1_regulator
cg10442735	CG	CG_of_ESR1_regulator
cg16926445	CG	CG_of_ESR1_regulator
cg22009660	CG	CG_of_ESR1_regulator
cg06814194	CG	CG_of_ESR1_regulator
cg02481237	CG	CG_of_ESR1_regulator
cg17511251	CG	CG_of_ESR1_regulator
cg23609682	CG	CG_of_ESR1_regulator
cg20236995	CG	CG_of_ESR1_regulator
cg09321238	CG	CG_of_ESR1_regulator
cg01104489	CG	CG_of_ESR1_regulator
cg26222332	CG	CG_of_ESR1_regulator
cg19914124	CG	CG_of_ESR1_regulator
cg12096707	CG	CG_of_ESR1_regulator
cg08110058	CG	CG_of_ESR1_regulator
cg23258188	CG	CG_of_ESR1_regulator
cg22029284	CG	CG_of_ESR1_regulator
cg05965745	CG	CG_of_ESR1_regulator
cg06367135	CG	CG_of_ESR1_regulator
cg01448098	CG	CG_of_ESR1_regulator
cg16265140	CG	CG_of_ESR1_regulator
cg24155739	CG	CG_of_ESR1_regulator
cg21401095	CG	CG_of_ESR1_regulator
cg24679453	CG	CG_of_ESR1_regulator
cg22396632	CG	CG_of_ESR1_regulator
cg07622451	CG	CG_of_ESR1_regulator
cg01517962	CG	CG_of_ESR1_regulator
cg16290522	CG	CG_of_ESR1_regulator
cg18145414	CG	CG_of_ESR1_regulator
cg06182121	CG	CG_of_ESR1_regulator
cg01203812	CG	CG_of_ESR1_regulator
cg01413848	CG	CG_of_ESR1_regulator
cg03942086	CG	CG_of_ESR1_regulator
cg10484617	CG	CG_of_ESR1_regulator
cg03391389	CG	CG_of_ESR1_regulator
cg00715999	CG	CG_of_ESR1_regulator
cg04316231	CG	CG_of_ESR1_regulator
cg24460544	CG	CG_of_ESR1_regulator
cg01961086	CG	CG_of_ESR1_regulator
cg22796923	CG	CG_of_ESR1_regulator
cg02299950	CG	CG_of_ESR1_regulator
cg20154143	CG	CG_of_ESR1_regulator
cg14217558	CG	CG_of_ESR1_regulator
cg26435254	CG	CG_of_ESR1_regulator
cg06815308	CG	CG_of_ESR1_regulator
cg05755889	CG	CG_of_ESR1_regulator
cg04277097	CG	CG_of_ESR1_regulator
cg18171009	CG	CG_of_ESR1_regulator
cg23212796	CG	CG_of_ESR1_regulator
cg20699701	CG	CG_of_ESR1_regulator
cg24612696	CG	CG_of_ESR1_regulator
cg12133962	CG	CG_of_ESR1_regulator
cg17445936	CG	CG_of_ESR1_regulator
cg24682449	CG	CG_of_ESR1_regulator
cg06748955	CG	CG_of_ESR1_regulator
cg25411239	CG	CG_of_ESR1_regulator
cg22674798	CG	CG_of_ESR1_regulator
cg13854423	CG	CG_of_ESR1_regulator
cg08247866	CG	CG_of_ESR1_regulator
cg21148623	CG	CG_of_ESR1_regulator
cg26891867	CG	CG_of_ESR1_regulator
cg07902789	CG	CG_of_ESR1_regulator
cg14018153	CG	CG_of_ESR1_regulator
cg15090440	CG	CG_of_ESR1_regulator
cg13393782	CG	CG_of_ESR1_regulator
cg22860172	CG	CG_of_ESR1_regulator
cg14966901	CG	CG_of_ESR1_regulator
cg07209071	CG	CG_of_ESR1_regulator
cg18759102	CG	CG_of_ESR1_regulator
cg05354921	CG	CG_of_ESR1_regulator
cg23689722	CG	CG_of_ESR1_regulator
cg27575873	CG	CG_of_ESR1_regulator
cg21338857	CG	CG_of_ESR1_regulator
cg04882216	CG	CG_of_ESR1_regulator
cg02767788	CG	CG_of_ESR1_regulator
cg05952379	CG	CG_of_ESR1_regulator
cg13781678	CG	CG_of_ESR1_regulator
cg10696969	CG	CG_of_ESR1_regulator
cg04972748	CG	CG_of_ESR1_regulator
cg21609526	CG	CG_of_ESR1_regulator
cg00254258	CG	CG_of_ESR1_regulator
cg25382214	CG	CG_of_ESR1_regulator
cg18147147	CG	CG_of_ESR1_regulator
cg15385589	CG	CG_of_ESR1_regulator
cg20629417	CG	CG_of_ESR1_regulator
cg15391425	CG	CG_of_ESR1_regulator
cg20253172	CG	CG_of_ESR1_regulator
cg02892384	CG	CG_of_ESR1_regulator
cg11222503	CG	CG_of_ESR1_regulator
cg01241450	CG	CG_of_ESR1_regulator
cg21836418	CG	CG_of_ESR1_regulator
cg12635191	CG	CG_of_ESR1_regulator
cg14169886	CG	CG_of_ESR1_regulator
cg23950223	CG	CG_of_ESR1_regulator
cg16260013	CG	CG_of_ESR1_regulator
cg13983181	CG	CG_of_ESR1_regulator
cg14380230	CG	CG_of_ESR1_regulator
cg07364162	CG	CG_of_ESR1_regulator
cg10115320	CG	CG_of_ESR1_regulator
cg07345710	CG	CG_of_ESR1_regulator
cg00774867	CG	CG_of_ESR1_regulator
cg26153353	CG	CG_of_ESR1_regulator
cg16555926	CG	CG_of_ESR1_regulator
cg05804170	CG	CG_of_ESR1_regulator
cg12408250	CG	CG_of_ESR1_regulator
cg24873695	CG	CG_of_ESR1_regulator
cg07576714	CG	CG_of_ESR1_regulator
cg17839324	CG	CG_of_ESR1_regulator
cg00581154	CG	CG_of_ESR1_regulator
cg22729726	CG	CG_of_ESR1_regulator
cg21692930	CG	CG_of_ESR1_regulator
cg26044566	CG	CG_of_ESR1_regulator
cg05656251	CG	CG_of_ESR1_regulator
cg19706803	CG	CG_of_ESR1_regulator
cg25349768	CG	CG_of_ESR1_regulator
cg26913155	CG	CG_of_ESR1_regulator
cg02769687	CG	CG_of_ESR1_regulator
cg22031783	CG	CG_of_ESR1_regulator
cg06526522	CG	CG_of_ESR1_regulator
cg01800445	CG	CG_of_ESR1_regulator
cg09119863	CG	CG_of_ESR1_regulator
cg26891951	CG	CG_of_ESR1_regulator
cg05265611	CG	CG_of_ESR1_regulator
cg14561530	CG	CG_of_ESR1_regulator
cg03596113	CG	CG_of_ESR1_regulator
cg04988794	CG	CG_of_ESR1_regulator
cg06659980	CG	CG_of_ESR1_regulator
cg25372239	CG	CG_of_ESR1_regulator
cg16386396	CG	CG_of_ESR1_regulator
cg15619820	CG	CG_of_ESR1_regulator
cg04022097	CG	CG_of_ESR1_regulator
cg22720392	CG	CG_of_ESR1_regulator
cg08266202	CG	CG_of_ESR1_regulator
cg23025459	CG	CG_of_ESR1_regulator
cg10493186	CG	CG_of_ESR1_regulator
cg03125480	CG	CG_of_ESR1_regulator
cg04500730	CG	CG_of_ESR1_regulator
cg25153629	CG	CG_of_ESR1_regulator
cg01940181	CG	CG_of_ESR1_regulator
cg16393928	CG	CG_of_ESR1_regulator
cg17489690	CG	CG_of_ESR1_regulator
cg26053881	CG	CG_of_ESR1_regulator
cg21789941	CG	CG_of_ESR1_regulator
