DNA	Degree	Degree Rank	Sign
cg21913681	4.0	269	+
cg04692506	3.0	270	+
cg06869505	3.0	271	+
cg06710195	3.0	272	+
cg04608582	3.0	273	+
cg06155620	3.0	274	+
cg01723892	3.0	275	+
cg00806311	3.0	276	+
cg06428196	3.0	277	+
cg00684075	3.0	278	+
cg05979619	3.0	279	+
cg02464901	3.0	280	+
cg05499499	3.0	281	+
cg04280772	3.0	282	+
cg03190578	3.0	283	+
cg03484180	3.0	284	+
cg04407215	3.0	285	+
cg07139503	3.0	286	+
cg07438401	3.0	287	+
cg04121771	3.0	288	+
cg02212575	3.0	289	+
cg04821009	3.0	290	+
cg06550986	3.0	291	+
cg04547002	3.0	292	+
cg00177142	3.0	293	+
cg00424967	3.0	294	+
cg05876824	3.0	295	+
cg05089968	3.0	296	+
cg03840849	3.0	297	+
cg02389084	3.0	298	+
cg06458904	3.0	299	+
cg04663842	3.0	300	+
cg06743037	3.0	301	+
cg03995434	3.0	302	+
cg04874580	3.0	303	+
cg00025347	3.0	304	+
cg01081737	3.0	305	+
cg01319323	3.0	306	+
cg07984358	3.0	307	+
cg07028733	3.0	308	+
cg04889043	3.0	309	+
cg02036336	3.0	310	+
cg00818106	3.0	311	+
cg03635073	3.0	312	+
cg01882535	3.0	313	+
cg07891457	3.0	314	+
cg05327192	3.0	315	+
cg08160085	3.0	316	+
cg03539765	3.0	317	+
cg01315201	3.0	318	+
cg01833755	3.0	319	+
cg00012698	3.0	320	+
cg00067884	3.0	321	+
cg02711212	3.0	322	+
cg02430430	3.0	323	+
cg07080231	3.0	324	+
cg02432467	3.0	325	+
cg03228065	3.0	326	+
cg04033718	3.0	327	+
cg03389720	3.0	328	+
cg05205532	3.0	329	+
cg00160388	3.0	330	+
cg05510337	3.0	331	+
cg04384112	3.0	332	+
cg01095004	3.0	333	+
cg02505676	3.0	334	+
cg07840332	3.0	335	+
cg00459816	3.0	336	+
cg03109921	3.0	337	+
cg03496533	3.0	338	+
cg03909356	3.0	339	+
cg03837680	3.0	340	+
cg04270264	3.0	341	+
cg00499707	3.0	342	+
cg02027735	3.0	343	+
cg01750375	3.0	344	+
cg06099014	3.0	345	+
cg02643667	3.0	346	+
cg01335087	3.0	347	+
cg01612629	3.0	348	+
cg15543523	3.0	349	+
cg14158583	3.0	350	+
cg12301620	3.0	351	+
cg09651315	3.0	352	+
cg08643007	3.0	353	+
cg09209002	3.0	354	+
cg08362313	3.0	355	+
cg09805405	3.0	356	+
cg12265878	3.0	357	+
cg09791812	3.0	358	+
cg08858370	3.0	359	+
cg16758041	3.0	360	+
cg15235937	3.0	361	+
cg14032465	3.0	362	+
cg09641919	3.0	363	+
cg09644451	3.0	364	+
cg16260343	3.0	365	+
cg10902825	3.0	366	+
cg10133578	3.0	367	+
cg16990505	3.0	368	+
cg12451007	3.0	369	+
cg10797387	3.0	370	+
cg08836861	3.0	371	+
cg08407014	3.0	372	+
cg10532048	3.0	373	+
cg23165623	3.0	374	+
cg20078972	3.0	375	+
cg23705119	3.0	376	+
cg19413110	3.0	377	+
cg19313373	3.0	378	+
cg21944557	3.0	379	+
cg20443138	3.0	380	+
cg25512266	3.0	381	+
cg27495109	3.0	382	+
cg18623708	3.0	383	+
cg25772669	3.0	384	+
cg20109393	3.0	385	+
cg24845324	3.0	386	+
cg21453287	3.0	387	+
cg22300819	3.0	388	+
cg22877623	3.0	389	+
cg23725567	3.0	390	+
cg27057210	3.0	391	+
cg24339704	3.0	392	+
cg21772838	3.0	393	+
cg06611115	2.0	394	+
cg02569108	2.0	395	+
cg05801374	2.0	396	+
cg05750926	2.0	397	+
cg06880420	2.0	398	+
cg08272268	2.0	399	+
cg07897871	2.0	400	+
cg02076020	2.0	401	+
cg06916670	2.0	402	+
cg07204874	2.0	403	+
cg07913153	2.0	404	+
cg02965283	2.0	405	+
cg01385669	2.0	406	+
cg06431347	2.0	407	+
cg07891533	2.0	408	+
cg05506011	2.0	409	+
cg02512867	2.0	410	+
cg06647928	2.0	411	+
cg04469998	2.0	412	+
cg02762363	2.0	413	+
cg07184986	2.0	414	+
cg05041265	2.0	415	+
cg02686793	2.0	416	+
cg02804240	2.0	417	+
cg03978658	2.0	418	+
cg06250841	2.0	419	+
cg01538165	2.0	420	+
cg00295293	2.0	421	+
cg07769015	2.0	422	+
cg06974428	2.0	423	+
cg00936935	2.0	424	+
cg04366880	2.0	425	+
cg04366815	2.0	426	+
cg00817464	2.0	427	+
cg04840051	2.0	428	+
cg07052041	2.0	429	+
cg06149981	2.0	430	+
cg04844534	2.0	431	+
cg05312104	2.0	432	+
cg04216240	2.0	433	+
cg06251348	2.0	434	+
cg04362096	2.0	435	+
cg03494429	2.0	436	+
cg07744430	2.0	437	+
cg00861695	2.0	438	+
cg07152812	2.0	439	+
cg08266168	2.0	440	+
cg05022087	2.0	441	+
cg02858826	2.0	442	+
cg07116693	2.0	443	+
cg07708487	2.0	444	+
cg00442282	2.0	445	+
cg06022562	2.0	446	+
cg05312962	2.0	447	+
cg03243965	2.0	448	+
cg02666638	2.0	449	+
cg16510654	2.0	450	+
cg13796936	2.0	451	+
cg16516270	2.0	452	+
cg15391651	2.0	453	+
cg16013349	2.0	454	+
cg10210571	2.0	455	+
cg15444281	2.0	456	+
cg09757400	2.0	457	+
cg09650667	2.0	458	+
cg15884721	2.0	459	+
cg17514226	2.0	460	+
cg10870055	2.0	461	+
cg11807153	2.0	462	+
cg09458940	2.0	463	+
cg11692369	2.0	464	+
cg09859794	2.0	465	+
cg15668500	2.0	466	+
cg17081955	2.0	467	+
cg14282656	2.0	468	+
cg13421038	2.0	469	+
cg10696199	2.0	470	+
cg15046735	2.0	471	+
cg10892416	2.0	472	+
cg16773127	2.0	473	+
cg09113560	2.0	474	+
cg09256448	2.0	475	+
cg09915397	2.0	476	+
cg13581928	2.0	477	+
cg09503196	2.0	478	+
cg15733055	2.0	479	+
cg12620111	2.0	480	+
cg20893956	2.0	481	+
cg25463822	2.0	482	+
cg20248954	2.0	483	+
cg19880899	2.0	484	+
cg25736986	2.0	485	+
cg22877504	2.0	486	+
cg18333041	2.0	487	+
cg24091570	2.0	488	+
cg18932278	2.0	489	+
cg27167602	2.0	490	+
cg24212267	2.0	491	+
cg24317002	2.0	492	+
cg23050442	2.0	493	+
cg24371157	2.0	494	+
cg27309677	2.0	495	+
cg26833538	2.0	496	+
cg25110043	2.0	497	+
cg22277700	2.0	498	+
cg20548111	2.0	499	+
cg25653011	2.0	500	+
cg18129105	2.0	501	+
cg26551326	2.0	502	+
cg25695068	2.0	503	+
cg20780302	2.0	504	+
cg25298189	2.0	505	+
cg21562889	2.0	506	+
cg21951729	2.0	507	+
cg25769883	2.0	508	+
cg26221280	2.0	509	+
cg21763021	2.0	510	+
cg04872947	1.0	511	+
cg01693305	1.0	512	+
cg05160751	1.0	513	+
cg06703332	1.0	514	+
cg05919105	1.0	515	+
cg07110659	1.0	516	+
cg07572770	1.0	517	+
cg07207669	1.0	518	+
cg01962821	1.0	519	+
cg00091302	1.0	520	+
cg03055271	1.0	521	+
cg02838178	1.0	522	+
cg04896437	1.0	523	+
cg06827850	1.0	524	+
cg01103730	1.0	525	+
cg01030476	1.0	526	+
cg05338187	1.0	527	+
cg04240491	1.0	528	+
cg06995408	1.0	529	+
cg01727105	1.0	530	+
cg06866375	1.0	531	+
cg05977696	1.0	532	+
cg01466348	1.0	533	+
cg02670123	1.0	534	+
cg03170036	1.0	535	+
cg06186245	1.0	536	+
cg02943050	1.0	537	+
cg06650659	1.0	538	+
cg06318062	1.0	539	+
cg08120226	1.0	540	+
cg03387103	1.0	541	+
cg08159033	1.0	542	+
cg03987648	1.0	543	+
cg05036937	1.0	544	+
cg02505827	1.0	545	+
cg05165087	1.0	546	+
cg08244581	1.0	547	+
cg07672051	1.0	548	+
cg01256227	1.0	549	+
cg05264377	1.0	550	+
cg02661728	1.0	551	+
cg07413467	1.0	552	+
cg00157012	1.0	553	+
cg05323683	1.0	554	+
cg07997333	1.0	555	+
cg06119575	1.0	556	+
cg01701837	1.0	557	+
cg02285155	1.0	558	+
cg05855983	1.0	559	+
cg00657415	1.0	560	+
cg00542261	1.0	561	+
cg04714939	1.0	562	+
cg03259292	1.0	563	+
cg00992348	1.0	564	+
cg07109745	1.0	565	+
cg05085566	1.0	566	+
cg08221781	1.0	567	+
cg05177729	1.0	568	+
cg08169311	1.0	569	+
cg02530375	1.0	570	+
cg07110405	1.0	571	+
cg05055844	1.0	572	+
cg04640834	1.0	573	+
cg04920032	1.0	574	+
cg03747456	1.0	575	+
cg01284289	1.0	576	+
cg02568716	1.0	577	+
cg03131767	1.0	578	+
cg01089602	1.0	579	+
cg05892030	1.0	580	+
cg03394422	1.0	581	+
cg02947498	1.0	582	+
cg03451296	1.0	583	+
cg08096702	1.0	584	+
cg05415308	1.0	585	+
cg02638589	1.0	586	+
cg02145220	1.0	587	+
cg01713348	1.0	588	+
cg02558476	1.0	589	+
cg05055712	1.0	590	+
cg03998598	1.0	591	+
cg04494791	1.0	592	+
cg03259887	1.0	593	+
cg01325188	1.0	594	+
cg03388025	1.0	595	+
cg00011924	1.0	596	+
cg02172028	1.0	597	+
cg07114544	1.0	598	+
cg05032848	1.0	599	+
cg05526498	1.0	600	+
cg02880679	1.0	601	+
cg00914963	1.0	602	+
cg07114009	1.0	603	+
cg02384546	1.0	604	+
cg03854913	1.0	605	+
cg01771850	1.0	606	+
cg05398905	1.0	607	+
cg03535099	1.0	608	+
cg07633702	1.0	609	+
cg02704949	1.0	610	+
cg04556210	1.0	611	+
cg07377519	1.0	612	+
cg00545462	1.0	613	+
cg02537838	1.0	614	+
cg03027661	1.0	615	+
cg01988541	1.0	616	+
cg02831668	1.0	617	+
cg12279294	1.0	618	+
cg08532870	1.0	619	+
cg11987090	1.0	620	+
cg10226297	1.0	621	+
cg17283506	1.0	622	+
cg11819639	1.0	623	+
cg09366861	1.0	624	+
cg12073565	1.0	625	+
cg09675653	1.0	626	+
cg17678946	1.0	627	+
cg13256513	1.0	628	+
cg12738864	1.0	629	+
cg09406856	1.0	630	+
cg16711083	1.0	631	+
cg13451953	1.0	632	+
cg11285937	1.0	633	+
cg16695597	1.0	634	+
cg17584576	1.0	635	+
cg17077776	1.0	636	+
cg11892243	1.0	637	+
cg08592146	1.0	638	+
cg14703058	1.0	639	+
cg12063847	1.0	640	+
cg08686995	1.0	641	+
cg08908148	1.0	642	+
cg10567419	1.0	643	+
cg10825011	1.0	644	+
cg11180199	1.0	645	+
cg12232110	1.0	646	+
cg11587658	1.0	647	+
cg16774604	1.0	648	+
cg10740670	1.0	649	+
cg11661523	1.0	650	+
cg11823654	1.0	651	+
cg12109883	1.0	652	+
cg11862246	1.0	653	+
cg09424398	1.0	654	+
cg12113898	1.0	655	+
cg16862528	1.0	656	+
cg09607131	1.0	657	+
cg10323240	1.0	658	+
cg17074000	1.0	659	+
cg13518530	1.0	660	+
cg09548950	1.0	661	+
cg12108956	1.0	662	+
cg25216696	1.0	663	+
cg20580088	1.0	664	+
cg20716209	1.0	665	+
cg22433862	1.0	666	+
cg18174678	1.0	667	+
cg20284025	1.0	668	+
cg25112191	1.0	669	+
cg22493673	1.0	670	+
cg18390816	1.0	671	+
cg26119331	1.0	672	+
cg18263686	1.0	673	+
cg24645247	1.0	674	+
cg27515243	1.0	675	+
cg18917495	1.0	676	+
cg19756097	1.0	677	+
cg27533700	1.0	678	+
cg24784794	1.0	679	+
cg24282422	1.0	680	+
cg20201475	1.0	681	+
cg20227714	1.0	682	+
cg26728709	1.0	683	+
cg26900616	1.0	684	+
cg20535044	1.0	685	+
cg25581330	1.0	686	+
cg19928764	1.0	687	+
cg18347650	1.0	688	+
cg19013262	1.0	689	+
cg24775832	1.0	690	+
cg18710383	1.0	691	+
cg25203351	1.0	692	+
cg20739526	1.0	693	+
cg20803232	1.0	694	+
cg19897251	1.0	695	+
cg21422024	1.0	696	+
cg26572856	1.0	697	+
cg23449780	1.0	698	+
cg21201659	1.0	699	+
cg23278066	1.0	700	+
cg20031401	1.0	701	+
cg19228181	1.0	702	+
cg21105319	1.0	703	+
cg20074699	1.0	704	+
cg20889476	1.0	705	+
cg19561609	1.0	706	+
cg18439323	1.0	707	+
cg21974996	1.0	708	+
cg26248586	1.0	709	+
cg23779992	1.0	710	+
cg27168900	1.0	711	+
cg26492318	1.0	712	+
cg18664900	1.0	713	+
cg19828022	1.0	714	+
cg20730634	1.0	715	+
cg26373518	1.0	716	+
cg22512377	1.0	717	+
cg03228065	28.0	1	-
cg03190578	26.0	2	-
cg02711212	24.0	3	-
cg02212575	23.0	4	-
cg03633268	23.0	5	-
cg05327192	23.0	6	-
cg02385230	23.0	7	-
cg20078972	22.0	8	-
cg06099014	21.0	9	-
cg02643667	21.0	10	-
cg09757400	21.0	11	-
cg04692506	20.0	12	-
cg00992348	20.0	13	-
cg03635073	20.0	14	-
cg00067884	19.0	15	-
cg16013349	19.0	16	-
cg01815912	18.0	17	-
cg19756097	18.0	18	-
cg12301620	17.0	19	-
cg27515243	17.0	20	-
cg02104952	16.0	21	-
cg02464901	16.0	22	-
cg03387103	16.0	23	-
cg02389084	16.0	24	-
cg05855983	16.0	25	-
cg06974428	15.0	26	-
cg03998598	15.0	27	-
cg11987090	15.0	28	-
cg11938491	15.0	29	-
cg02512867	14.0	30	-
cg00673191	14.0	31	-
cg17678946	14.0	32	-
cg11285937	14.0	33	-
cg16204710	14.0	34	-
cg08836861	14.0	35	-
cg15043801	14.0	36	-
cg26272214	14.0	37	-
cg22512377	14.0	38	-
cg05919105	13.0	39	-
cg05041265	13.0	40	-
cg04920032	13.0	41	-
cg17077776	13.0	42	-
cg03055271	12.0	43	-
cg00542261	12.0	44	-
cg07080231	12.0	45	-
cg01962821	11.0	46	-
cg06827850	11.0	47	-
cg03170036	11.0	48	-
cg04280772	11.0	49	-
cg04547002	11.0	50	-
cg02477603	11.0	51	-
cg02568716	11.0	52	-
cg04272613	11.0	53	-
cg04806409	11.0	54	-
cg12063847	11.0	55	-
cg02965283	10.0	56	-
cg07139503	10.0	57	-
cg02661728	10.0	58	-
cg01099300	10.0	59	-
cg01325188	10.0	60	-
cg09276158	10.0	61	-
cg09366861	10.0	62	-
cg08472978	10.0	63	-
cg09458940	10.0	64	-
cg13518530	10.0	65	-
cg21240762	10.0	66	-
cg20074699	10.0	67	-
cg27124109	10.0	68	-
cg05977696	9.0	69	-
cg05499499	9.0	70	-
cg05089968	9.0	71	-
cg03995434	9.0	72	-
cg00025347	9.0	73	-
cg01643712	9.0	74	-
cg17514226	9.0	75	-
cg12351126	9.0	76	-
cg18174678	9.0	77	-
cg18263686	9.0	78	-
cg24339704	9.0	79	-
cg06550986	8.0	80	-
cg01882535	8.0	81	-
cg06251348	8.0	82	-
cg07840332	8.0	83	-
cg02880679	8.0	84	-
cg25338818	8.0	85	-
cg00653615	7.0	86	-
cg06428196	7.0	87	-
cg05539265	7.0	88	-
cg00157012	7.0	89	-
cg07056138	7.0	90	-
cg03394422	7.0	91	-
cg04270264	7.0	92	-
cg12535596	7.0	93	-
cg12048310	7.0	94	-
cg09209002	7.0	95	-
cg11180199	7.0	96	-
cg12094965	7.0	97	-
cg16773127	7.0	98	-
cg11176186	7.0	99	-
cg25479788	7.0	100	-
cg23280778	7.0	101	-
cg23093590	7.0	102	-
cg18664900	7.0	103	-
cg18328477	7.0	104	-
cg22442557	7.0	105	-
cg04240491	6.0	106	-
cg02943050	6.0	107	-
cg04366880	6.0	108	-
cg12793502	6.0	109	-
cg16487101	6.0	110	-
cg17391830	6.0	111	-
cg15487282	6.0	112	-
cg25112191	6.0	113	-
cg23893379	6.0	114	-
cg18439323	6.0	115	-
cg21562889	6.0	116	-
cg01693305	5.0	117	-
cg04469998	5.0	118	-
cg02947498	5.0	119	-
cg02145220	5.0	120	-
cg07114544	5.0	121	-
cg12451007	5.0	122	-
cg24546153	5.0	123	-
cg18623708	5.0	124	-
cg05165087	4.0	125	-
cg06458904	4.0	126	-
cg07109745	4.0	127	-
cg08266168	4.0	128	-
cg01713348	4.0	129	-
cg17140469	4.0	130	-
cg09859794	4.0	131	-
cg12020983	4.0	132	-
cg13990013	4.0	133	-
cg15733055	4.0	134	-
cg22275306	4.0	135	-
cg22107986	4.0	136	-
cg27647589	4.0	137	-
cg27121959	4.0	138	-
cg01727105	3.0	139	-
cg03931518	3.0	140	-
cg01990593	3.0	141	-
cg06647928	3.0	142	-
cg06743037	3.0	143	-
cg08096702	3.0	144	-
cg07945618	3.0	145	-
cg05322837	3.0	146	-
cg07633702	3.0	147	-
cg10059756	3.0	148	-
cg08695707	3.0	149	-
cg10530644	3.0	150	-
cg09675653	3.0	151	-
cg09664492	3.0	152	-
cg17060195	3.0	153	-
cg15884721	3.0	154	-
cg11807153	3.0	155	-
cg08908148	3.0	156	-
cg08858370	3.0	157	-
cg09644451	3.0	158	-
cg16085568	3.0	159	-
cg11661523	3.0	160	-
cg11806389	3.0	161	-
cg10559432	3.0	162	-
cg21944557	3.0	163	-
cg25385272	3.0	164	-
cg27125439	3.0	165	-
cg03987648	2.0	166	-
cg04821009	2.0	167	-
cg03407631	2.0	168	-
cg05876824	2.0	169	-
cg07413467	2.0	170	-
cg06688763	2.0	171	-
cg02804240	2.0	172	-
cg07911953	2.0	173	-
cg04640834	2.0	174	-
cg04556210	2.0	175	-
cg15543523	2.0	176	-
cg13578020	2.0	177	-
cg10233455	2.0	178	-
cg11187360	2.0	179	-
cg09116658	2.0	180	-
cg16516270	2.0	181	-
cg11819639	2.0	182	-
cg17584576	2.0	183	-
cg11809702	2.0	184	-
cg12445461	2.0	185	-
cg11223711	2.0	186	-
cg13249789	2.0	187	-
cg10021803	2.0	188	-
cg09676630	2.0	189	-
cg16226627	2.0	190	-
cg11888757	2.0	191	-
cg10072351	2.0	192	-
cg24797840	2.0	193	-
cg18227129	2.0	194	-
cg25107608	2.0	195	-
cg26119331	2.0	196	-
cg27533700	2.0	197	-
cg25680916	2.0	198	-
cg24784794	2.0	199	-
cg18011946	2.0	200	-
cg18004175	2.0	201	-
cg26362263	2.0	202	-
cg18176887	2.0	203	-
cg18322772	2.0	204	-
cg19321739	2.0	205	-
cg23784313	2.0	206	-
cg18166347	2.0	207	-
cg20889476	2.0	208	-
cg20548111	2.0	209	-
cg20552688	2.0	210	-
cg26621046	2.0	211	-
cg25038082	2.0	212	-
cg26551326	2.0	213	-
cg25460935	2.0	214	-
cg26988016	2.0	215	-
cg20631750	2.0	216	-
cg06119575	1.0	217	-
cg03259292	1.0	218	-
cg07754940	1.0	219	-
cg04216240	1.0	220	-
cg05177729	1.0	221	-
cg03131767	1.0	222	-
cg01498468	1.0	223	-
cg02172028	1.0	224	-
cg11694119	1.0	225	-
cg15391651	1.0	226	-
cg17278115	1.0	227	-
cg10617287	1.0	228	-
cg09791812	1.0	229	-
cg11906718	1.0	230	-
cg11608447	1.0	231	-
cg14377982	1.0	232	-
cg10777103	1.0	233	-
cg16260343	1.0	234	-
cg10902825	1.0	235	-
cg13421038	1.0	236	-
cg09823679	1.0	237	-
cg16774604	1.0	238	-
cg16550282	1.0	239	-
cg11748936	1.0	240	-
cg14843902	1.0	241	-
cg15660466	1.0	242	-
cg10687823	1.0	243	-
cg09548950	1.0	244	-
cg09437522	1.0	245	-
cg09251111	1.0	246	-
cg23705119	1.0	247	-
cg24594295	1.0	248	-
cg23244997	1.0	249	-
cg25979244	1.0	250	-
cg19749688	1.0	251	-
cg26682499	1.0	252	-
cg17941743	1.0	253	-
cg26550787	1.0	254	-
cg19021080	1.0	255	-
cg24183909	1.0	256	-
cg25581330	1.0	257	-
cg25399309	1.0	258	-
cg17873919	1.0	259	-
cg21962918	1.0	260	-
cg24775832	1.0	261	-
cg20109393	1.0	262	-
cg23859078	1.0	263	-
cg24845324	1.0	264	-
cg22761619	1.0	265	-
cg24317002	1.0	266	-
cg22192301	1.0	267	-
cg18130076	1.0	268	-
cg26833538	1.0	269	-
cg22877623	1.0	270	-
cg25636441	1.0	271	-
cg23079808	1.0	272	-
cg22830707	1.0	273	-
cg23312397	1.0	274	-
cg25653011	1.0	275	-
cg22356484	1.0	276	-
cg18006085	1.0	277	-
cg26619931	1.0	278	-
cg25316898	1.0	279	-
cg22379207	1.0	280	-
